old_keyword,new_keyword,id
adipose tissue dysfunction,adipose tissue dysfunction,295
adipose tissue gene expression,adipose tissue gene expression,296
adipose tissue growth,adipose tissue growth,297
adipose tissue inflammation,adipose tissue inflammation,298
adipose tissue macrophage,adipose tissue macrophage,299
adipose tissue macrophages,adipose tissue macrophage,299
adipose tissue metabolism,adipose tissue metabolism,300
adipose tissue quantification,adipose tissue quantification,301
adipose triglyceride lipase,adipose triglyceride lipase,302
atgl,adipose triglyceride lipase,302
adipose-derived stem cells,adipose-derived stem cell,303
adiposity,adiposity,304
adiposity indices,adiposity indices,305
adiposity rebound,adiposity rebound,306
adizones,adizones,307
adjustable gastric band,adjustable gastric band,308
adjustable gastric banding,adjustable gastric banding,309
adjustable gastric bandinging,adjustable gastric banding,309
adjustment,adjustment,310
adjuvant therapy,adjuvant therapy,311
admet properties,admet properties,312
administrative data,administrative data,313
adolescence,adolescent,314
adolescent,adolescent,314
adolescents,adolescent,314
adolescent development,adolescent development,315
adolescent dietary preferences,adolescent dietary preference,316
adolescents dieting,adolescent dieting,317
adolescent exposure,adolescent exposure,318
adolescent female,adolescent female,319
adolescent females,adolescent female,319
adolescent girls,adolescent girl,320
adolescent health,adolescent health,321
adolescent obesity,adolescent obesity,322
adolescent obesity prevention,adolescent obesity prevention,323
adolescent overweight,adolescent overweight,324
adolescent pregnancy,adolescent pregnancy,325
adrenal,adrenal,326
adrenal gland,adrenal gland,327
adrenal glands,adrenal gland,327
adrenal incidentaloma,adrenal incidentaloma,328
adrenal insufficiency,adrenal insufficiency,329
adrenalectomy,adrenalectomy,330
adrenaline,adrenaline,331
adrenarche,adrenarche,332
adrenergic,adrenergic,333
adrenergic receptor,adrenergic receptor,334
-adrenergic receptors,adrenergic receptor,334
adrb1,adrenoceptor beta 1,335
adrenocorticotropic hormone,adrenocorticotropic hormone,336
acth,adrenocorticotropic hormone,336
adropin,adropin,337
adult,adult,338
adults,adult,338
adult and elderly nutrition,adult and elderly nutrition,339
adult attachment,adult attachment,340
adult adhd,adult attention deficit hyperactivity disorder,341
adult diseases,adult disease,342
adult obesity,adult obesity,343
adult scoliosis,adult scoliosis,344
adult zebrafish,adult zebrafish,345
adulthood,adulthood,346
advanced glycation end products,advanced glycation end product,347
advanced oxidation protein products,advanced oxidation protein product,348
aopp,advanced oxidation protein product,348
adventitia,adventitia,349
advergames,advergames,350
adverse childhood experiences,adverse childhood experience,351
adverse drug reaction,adverse drug reaction,352
adverse effects,adverse effect,353
adverse event,adverse event,354
adverse events,adverse event,354
adverse pregnancy outcomes,adverse pregnancy outcomes,355
adverse reactions,adverse reactions,356
adversemetabolic response,adversemetabolic response,357
advertisement,advertisement,358
advertisements,advertisement,358
advertising,advertising,359
advocacy,advocacy,360
aerobic,aerobic,361
aerobic capacity,aerobic capacity,362
aerobic exercise,aerobic exercise,363
aerobic exercise training,aerobic exercise training,364
aerobic fitness,aerobic fitness,365
aerobic interval training,aerobic interval training,366
aerobic power,aerobic power,367
aerobic threshold,aerobic threshold,368
aerobic training,aerobic training,369
aesthetic labour,aesthetic labour,370
aetiology,aetiology,371
affect,affect,372
affective disorders,affective disorder,373
affective symptoms,affective symptom,374
affordance,affordance,375
affymetrix mouse genechip,affymetrix mouse genechip,376
africa,africa,377
africa south of the sahara,africa south of the sahara,378
african,african,379
african american,african american,380
african american women,african american women,381
african-american women,african american women,381
african american youth,african american youth,382
afternoon meal,afternoon meal,383
afterschool,afterschool,384
agamben,agamben,385
age,age,386
age at menarche,age at menarche,387
age group,age group,388
age of onset,age of onset,389
age trends,age trends,390
aged,aged,391
ageing,ageing,392
agent-based model,agent-based model,393
age-period-cohort models,age-period-cohort model,394
age-related androgen deficiency,age-related androgen deficiency,395
age-related disease,age-related disease,396
age-related diseases,age-related disease,396
age-related hearing impairment,age-related hearing impairment,397
aging,aging,398
aging workforce,aging workforce,399
a-glucosidase,a-glucosidase,400
a-glucosidase inhibition,a-glucosidase inhibition,401
agonist,agonist,402
agouti,agouti,403
agouti related peptide,agouti related peptide,404
agouti-related protein,agouti related peptide,404
agrp,agouti related peptide,404
agreement,agreement,405
agricultural development,agricultural development,406
agriculture,agriculture,407
agriculture policy,agriculture policy,408
agrifood innovation,agrifood innovation,409
agroforestry,agroforestry,410
aha scientific statements,aha scientific statement,411
aicar,aicar,412
aids,aids,413
air displacement plethysmography,air displacement plethysmography,414
air pollutants,air pollutant,415
air pollution,air pollution,416
air-displacement plethysmography,air-displacement plethysmography,417
airflow limitation,airflow limitation,418
airway,airway,419
airway hyperresponsiveness,airway hyperresponsiveness,420
airway inflammation,airway inflammation,421
airway obstruction,airway obstruction,422
airway resistance,airway resistance,423
airway responsiveness,airway responsiveness,424
airway smooth muscle,airway smooth muscle,425
akt,akt,426
akt phosphorylation,akt phosphorylation,427
akt signaling,akt signaling,428
akt/mtor/hif-1a/stra13 pathway,akt/mtor/hif-1a/stra13 pathway,429
alanine aminotransferase,alanine aminotransferase,430
alt,alanine aminotransferase,430
alanine transaminase,alanine transaminase,431
alaska native,alaska native,432
alaska natives,alaska native,432
albania,albania,433
albiglutide,albiglutide,434
albino rat,albino rat,435
albright hereditary osteodystrophy,albright hereditary osteodystrophy,436
albumin,albumin,437
albuminuria,albuminuria,438
alcalase potato protein hydrolysate,alcalase potato protein hydrolysate,439
apph,alcalase potato protein hydrolysate,439
alceste,alceste,440
alcohol,alcohol,441
alcohol abuse,alcohol abuse,442
alcohol consumption,alcohol consumption,443
alcohol dependence,alcohol dependence,444
alcohol drinking,alcohol drinking,445
alcohol metabolism,alcohol metabolism,446
alcohol use,alcohol use,447
alcoholic liver disease,alcoholic liver disease,448
alcoholism,alcoholism,449
aldose reductases,aldose reductases,450
aldosterone,aldosterone,451
aleurone,aleurone,452
alexithymia,alexithymia,453
algeria,algeria,454
alginate,alginate,455
algorithm,algorithm,456
alimentary interview,alimentary interview,457
alimentary obesity,alimentary obesity,458
aliskiren,aliskiren,459
alisma orientale,alisma orientale,460
alkaline phosphatase,alkaline phosphatase,461
alkylphenol,alkylphenol,462
alkynes,alkynes,463
all-cause mortality,all-cause mortality,464
allergic conjunctivitis,allergic conjunctivitis,465
allergy,allergy,466
alloderm,alloderm,467
allodynia,allodynia,468
allometry,allometry,469
allopregnanolone,allopregnanolone,470
allopurinol,allopurinol,471
allostasis,allostasis,472
allostatic load,allostatic load,473
alnus japonica,alnus japonica,474
alogliptin,alogliptin,475
alopecia,alopecia,476
alpha-1 antitrypsin deficiency augmentation therapy,alpha-1 antitrypsin deficiency augmentation therapy,477
alpha-1 antitrypsin phenotypes,alpha-1 antitrypsin phenotypes,478
alpha-linolenic acid,alpha-linolenic acid,479
a-linolenic acid,alpha-linolenic acid,479
a-lipoic acid,alpha-lipoic acid,480
alpha-lipoic acid,alpha-lipoic acid,480
alpha-melanocyte-stimulating hormone,alpha-melanocyte-stimulating hormone,481
a-msh,alpha-melanocyte-stimulating hormone,481
alspac,alspac,482
alstrm,alstrom,483
alstrm syndrome,alstrom syndrome,484
alms1,alstrom syndrome protein 1,485
altered clearance,altered clearance,486
alternative healthy eating index-2010,alternative healthy eating index-2010,487
alternative schools,alternative schools,488
alternative splicing,alternative splicing,489
alternative treatments,alternative treatment,490
alveolar bone loss,alveolar bone loss,491
alzheimer,alzheimer,492
alzheimer disease,alzheimer disease,493
am251,am251,494
a-mangostin,a-mangostin,495
ambient temperature,ambient temperature,496
ambulation,ambulation,497
ambulatory,ambulatory,498
ambulatory blood pressure,ambulatory blood pressure,499
ambulatory blood pressure monitoring,ambulatory blood pressure monitoring,500
ambulatory care,ambulatory care,501
ambulatory heart rate monitoring,ambulatory heart rate monitoring,502
ambulatory surgery,ambulatory surgery,503
amenorrhea,amenorrhea,504
american,american,505
american football,american football,506
american indian,american indian,507
american indians,american indian,507
american indian and alaska native,american indian and alaska native,508
american samoa,american samoa,509
ames bacterial reverse mutation assay,ames bacterial reverse mutation assay,510
amfepramone,amfepramone,511
amine oxidase,amine oxidase,512
amino acid,amino acid,513
amino acids,amino acid,513
amlodipine,amlodipine,514
amniotic fluid,amniotic fluid,515
amp kinase,amp-activated protein kinase,516
amp-act scanivated protein kinase,amp-activated protein kinase,516
amp-activated protein kinase,amp-activated protein kinase,516
ampk,amp-activated protein kinase,516
ampka/akt,amp-activated protein kinase,516
amphetamine,amphetamine,517
amphetamines,amphetamine,517
amphiregulin,amphiregulin,518
amputation,amputation,519
amygdala,amygdala,520
amylase,amylase,521
amylin,amylin,522
amyloid,amyloid,523
#NAME?,amyloid,523
amyloid precursor protein,amyloid precursor protein,524
amyloid- protein,amyloid- protein,525
amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,526
als,amyotrophic lateral sclerosis,526
anaemia,anaemia,527
anaerobic,anaerobic,528
anaerobic threshold,anaerobic threshold,529
anaesthesia,anaesthesia,530
anaesthetic techniques,anaesthetic techniques,531
anaesthetics volatile,anaesthetics volatile,532
anakinra,anakinra,533
anal incontinence,anal incontinence,534
analgesia,analgesia,535
analogue,analogue,536
analysis,analysis,537
anandamide,anandamide,538
anaphylaxis,anaphylaxis,539
anastomosis,anastomosis,540
anastomotic leak,anastomotic leak,541
anastomotic leakage,anastomotic leak,541
anastomotic leaks,anastomotic leak,541
anastomotic stricture,anastomotic stricture,542
anastomotic ulcer,anastomotic ulcer,543
anatomy,anatomy,544
and children,and children,545
and environment change,and environment change,546
androgen,androgen,547
androgen deficiency,androgen deficiency,548
androgen receptor,androgen receptor,549
androstenedione,androstenedione,550
anemia,anemia,551
anesthesia,anesthesia,552
aneurysm,aneurysm,553
ang-,ang,554
angelo framework,angelo framework,555
anger,anger,556
angina,angina,557
angina pectoris,angina pectoris,558
angiogenesis,angiogenesis,559
angiography,angiography,560
angioplasty,angioplasty,561
angiotensin,angiotensin,562
angiotensin ii,angiotensin 2,563
angiotensin ii receptor blocker,angiotensin 2 receptor blocker,564
angiotensin ii type 1 receptor,angiotensin 2 type 1 receptor,565
angiotensin converting enzyme,angiotensin converting enzyme,566
angiotensin converting enzyme inhibitors,angiotensin converting enzyme inhibitor,567
angiotensin receptor blocker,angiotensin receptor blocker,568
angiotensin type-1 receptor,angiotensin type 1 receptor,569
angiotensin-converting enzyme gene,angiotensin-converting enzyme gene,570
angiotensin-converting enzyme inhibitors,angiotensin-converting enzyme gene,570
angiotensinogen,angiotensinogen,571
angptl8,angptl8,572
anhedonia,anhedonia,573
animals,animal,574
animal husbandry,animal husbandry,575
animal model,animal model,576
animal models,animal model,576
animalmodels,animal model,576
animal models of diabetes,animal models of diabetes,577
animal pharmacology,animal pharmacology,578
animal welfare,animal welfare,579
ankk1,ankk1,580
ankle osteoarthritis,ankle osteoarthritis,581
ankle-brachial index,ankle-brachial index,582
ankylosing spondylitis,ankylosing spondylitis,583
annual trends,annual trend,584
anorexia,anorexia,585
anorexia nervosa,anorexia nervosa,586
anorexigenic,anorexigenic,587
anovulation,anovulation,588
antagonism,antagonism,589
antagonist,antagonist,590
antagonists,antagonist,590
antecolic,antecolic,591
antedrug,antedrug,592
antenatal,antenatal,593
antenatal care,antenatal care,594
anterior cingulate cortex,anterior cingulate cortex,595
anterior cruciate ligament transection,anterior cruciate ligament transection,596
anterior insula,anterior insula,597
anterior thalamic nucleus,anterior thalamic nucleus,598
anthocyanin,anthocyanin,599
anthocyanins,anthocyanin,599
anthropological machine,anthropological machine,600
anthropometric,anthropometric,601
anthropometrics,anthropometric,601
anthropometric factors,anthropometric factors,602
anthropometric index,anthropometric index,603
anthropometric indexes,anthropometric index,603
anthropometric indices,anthropometric index,603
anthropometric measures,anthropometric measure,604
anthropometric measurement,anthropometric measurement,605
anthropometric measurements,anthropometric measurement,605
anthropometric parameters,anthropometric parameter,606
anthropometry,anthropometry,607
anthropometry synthesis,anthropometry synthesis,608
anthropomorphy,anthropomorphy,609
anti diuretic,anti diuretic,610
anti-adipogenesis,anti-adipogenesis,611
anti-adipogenic agent,anti-adipogenic agent,612
anti-allergy,anti-allergy,613
anti-angiogenesis,anti-angiogenesis,614
antibacterial,antibacterial,615
antibiotic,antibiotic,616
antibiotic resistance,antibiotic resistance,617
antibodies,antibody,618
antibody and immune response,antibody and immune response,619
anticancer,anticancer,620
anti-cancer activity,anticancer activity,621
anticancer phytochemicals,anticancer phytochemical,622
anticipatory guidance,anticipatory guidance,623
anticoagulants,anticoagulant,624
anticoagulation,anticoagulation,625
antidepressant,antidepressant,626
antidepressant drugs,antidepressant,626
antidepressants,antidepressant,626
antidepressant treatment,antidepressant treatment,627
antidepressive agents,antidepressive agents,628
antidiabetes,antidiabetes,629
anti-diabetes,antidiabetes,629
antidiabetes drug,antidiabetes drug,630
antidiabetic drug,antidiabetes drug,630
anti-diabetic drugs,antidiabetes drug,630
anti-diabetes effect,antidiabetes effect,631
antidiabetic,antidiabetic,632
anti-diabetic,antidiabetic,632
antidiabetic activity,antidiabetic activity,633
antidiabetic effect,antidiabetic effect,634
antidotes,antidotes,635
antiepileptic drug,antiepileptic drug,636
anti-fat,antifat,637
antifat attitudes,antifat attitudes,638
anti-fat attitudes,antifat attitudes,638
antihyperglicemic activity,antihyperglicemic activity,639
antihyperglycemia,antihyperglycemia,640
anti-hyperlipidemia,antihyperlipidemia,641
antihypertensives,antihypertensive,642
antihypertensive agents,antihypertensive agent,643
antihypertensive drugs,antihypertensive drug,644
antihypertensive therapy,antihypertensive therapy,645
anti-idiotypic antibodies,anti-idiotypic antibodies,646
anti-inflammation,anti-inflammation,647
anti-inflammatory activity,anti-inflammation,647
anti-lipid droplets accumulation activity,anti-lipid droplets accumulation activity,648
antimicrobial,antimicrobial,649
anti-mllerian hormone,anti-mullerian hormone,650
anti-mullerian hormone,anti-mullerian hormone,650
amh,anti-mullerian hormone,650
antimutagenic,antimutagenic,651
antinociceptive,antinociceptive,652
anti-obese,antiobesity,653
antiobesity,antiobesity,653
anti-obesity,antiobesity,653
antiobesity agents,antiobesity agents,654
anti-obesity agents,antiobesity agents,654
anti-obesity compounds,antiobesity compounds,655
antiobesity drug,antiobesity drug,656
antiobesity drugs,antiobesity drug,656
anti-obesity drugs,antiobesity drug,656
anti-obesity effect,antiobesity effect,657
anti-obesity formulation,antiobesity formulation,658
anti-obesity plants,antiobesity plant,659
anti-obesity policy,antiobesity policy,660
antioxidant,antioxidant,661
antioxidants,antioxidant,661
antioxidant activity,antioxidant activity,662
antioxidants and cardiovascular disease,antioxidant and cardiovascular disease,663
antioxidant capacity,antioxidant capacity,664
antioxidant enzymes,antioxidant enzyme,665
antioxidant enzyme activity,antioxidant enzyme activity,666
antioxidant status,antioxidant status,667
antioxidant supplements,antioxidant supplement,668
antioxidant system,antioxidant system,669
antioxidant vitamins,antioxidant vitamin,670
antiphospholipid syndrome,antiphospholipid syndrome,671
antipsychotic,antipsychotic,672
antipsychotic agents,antipsychotic agents,673
antipsychotic drugs,antipsychotic drugs,674
antipsychotic-induced weight gain,antipsychotic-induced weight gain,675
antipsychotics,antipsychotics,676
antiretroviral therapy,antiretroviral therapy,677
antisense,antisense,678
antisense oligonucleotide,antisense oligonucleotide,679
anti-xa,anti-xa,680
anti-xa act scanivity,anti-xa act scanivity,681
antral follicle count,antral follicle count,682
anxiety,anxiety,683
anxiety and depressive disorders,anxiety disorder,684
anxiety disorder,anxiety disorder,684
anxiety sensitivity,anxiety sensitivity,685
