article_id,keyword,key_id
96260,sleep,12542
96260,respiratory disorder,11982
96260,pain,10371
96262,nrem sleep,9827
96262,polymorphism,15119
96262,pharmacodynamics,10748
96262,pharmacokinetics,10749
96262,gaba,5614
96262,melatonin,8507
96262,circadian,2829
96263,simulation,16301
96265,obstructive,9918
96265,cone beam computed tomography,2367
96267,classification,2872
96267,spectral features,14486
96268,pan tompkin,10410
96268,bayes network,1496
96268,cardioid,2174
96268,electrocardiography signal,4495
96269,liver fibrosis,7915
96269,longitudinal study,7975
96270,cephalometric,2451
96270,obstructive,9918
96270,snoring,16381
96271,retinal nerve fiber layer,12114
96271,children,2656
96272,intermittent hypoxemia,7175
96273,formant,5472
96273,clinical variable,2952
96274,lung injury,8078
96274,inflammation,6984
96275,insomnia,7050
96275,suvorexant,13115
96277,sleep study,15283
96278,safety,12284
96278,weight loss,13880
96278,pharmacotherapy,10753
96278,obesity management,9888
96278,overweight,10298
96278,efficacy,4564
96278,adverse event,463
96279,breathing,1906
96280,cephalometric analysis,2452
96280,upper airway,14431
96281,supine position,15401
96281,rostral fluid shift,12250
96281,neck fluid volume,9398
96281,leg fluid volume,7747
96282,lipid peroxidation,7880
96283,compliance,3166
96284,genioglossus,5741
96284,obstructive sleep apnea and hypopnea syndrome,9936
96284,non-surgical management,9782
96284,pharyngeal musculature,10788
96284,valsalva maneuver,13686
96285,testosterone,13239
96285,ferritin,5270
96285,atherosclerosis,1142
96286,withdrawal,16007
96286,opioid,10087
96287,nasal cavity,9263
96287,pharyngeal wall pressure,10800
96288,metabolic syndrome,8583
96288,non-alcoholic fatty liver disease,14090
96288,women,13911
96288,vascular risk factor,15824
96288,arterial stiffness,1133
96288,inflammatory marker,6989
96290,pharyngeal critical pressure,10775
96291,real time detection,11740
96291,nasal pressure,9326
96291,snoring,16381
96292,sleep,12542
96292,hypertrophy,6612
96292,hypertension,6451
96292,atherosclerosis,1142
96293,atherosclerosis,1142
96293,intermittent hypoxia,7176
96294,least squares support vector machine,7709
96294,cardiorespiratory interaction,2207
96295,diabetes,3983
96295,safety pharmacology,12286
96295,sleep disturbance,12597
96296,tube,15919
96296,mask,8299
96297,carvedilol,2312
96297,beta adrenergic receptor blockade,1540
96297,telemetry,16136
96298,testosterone,13239
96299,snoring,16381
96299,sleep,12542
96299,respiratory disease,11981
96299,allergy,636
96300,angiotensin 1 receptor,843
96300,cells proliferation,2390
96300,intermittent hyopxia,7174
96300,myeloid differentiation factor 88,9162
96300,mitogen-activated protein kinase,8805
96300,tumour necrosis factor receptor-associated factor 6,15124
96301,sleep monitoring,12632
96301,respiration monitoring,11953
96304,predictive model,15561
96304,k-means cluster analysis,7491
96304,bootstrap analysis,1806
96304,adherence,389
96306,novel parameter,9818
96306,obstruction severity,9917
96306,weight loss,13880
96306,weight gain,15613
96307,copeptin,3419
96307,infammation,6948
96308,median filter,8421
96308,envelope detector,4813
96308,breathing artifact,1909
96308,sleep apnea and hypopnea,15059
96309,sleep monitoring,12632
96311,rostral fluid shift,12250
96311,supine position,15401
96311,neck fluid volume,9398
96311,leg fluid volume,7747
96312,intermittent hypoxia,7176
96312,metallothionein,8591
96312,nuclear factor like 2,9842
96313,oral appliance,15334
96315,mhealth,8633
96315,photoplethysmogram,14978
96315,audio,1284
96315,actigraphy,259
96316,chronic pain,2774
96316,musculoskeletal,9141
96317,obstructive,9918
96317,computer simulation,3212
96319,acoustic,227
96320,children,2656
96320,left ventricular function,7737
96320,right ventricular function,12197
96321,diagnosis,4004
96321,atrial fibrillation,1251
96322,continuous positive airway pressure battery,3543
96322,sleep apnea and power outage,12554
96322,sleep apnea traveler,12571
96322,sleep apnea traveler to remote area,12572
96322,wilderness and sleep apnea,13901
96322,portable continuous positive aiirway pressure ,11042
96322,pap backup power,10422
96322,pap power option,13945
96323,extreme learning machine,5110
96325,decision tree,3817
96325,oximetry,10320
96326,electrocardiogram,4609
96326,kernel density,7448
96327,hypertension,6451
96327,endothelial dysfunction,4754
96327,coronary heart disease,2582
96327,stroke,12980
96328,temporomandibular joint replacement,14240
96328,condylar atrophy,3252
96328,condylar analogue,3251
96328,juvenile arthritis,7431
96328,mandibular advancement,8225
96329,hypoxia,6716
96329,gender,5684
96329,snoring,16381
96330,obstructive sleep apnea,1011
96330,public health,11493
96331,snoring,16381
96331,segmentation of computed tomography data,14444
96331,fluid-structural interaction,5415
96332,knee,7493
96332,rehabilitation,11835
96332,osteoarthritis,10236
96332,muscle strength,9127
96333,difficult airway,4108
96334,cross power spectrum density,3573
96334,classification,2872
96334,heart rate variability,6139
96334,photoplethysmogram,14978
96335,particulate matter,10491
96335,environmental,4815
96335,epidemiology,4836
96335,community,3117
96335,black carbon,1673
96338,cardioid,2174
96338,bayes network,1496
96338,electrocardiography signal,4495
96338,pan tompkin,10410
96339,pharyngeal cavity,10764
96339,obstructive sleep apnea hypopnea syndrome,9912
96339,numerical simulation,9855
96339,three-dimensional reconstruction,14587
96341,sub-band spectra,12999
96341,snoring,16381
96341,acoustic analysis,229
96342,gh,5789
96342,sex hormone binding globulin,12458
96342,testosterone,13239
96342,osteoporosis,10245
96343,modafinil,8831
96344,electroencephalography,4529
96344,epilepsy,4851
96345,intensive care,7139
96345,circadian,2829
96345,chronotherapy,2807
96345,shift work,15725
96345,sleep,12542
96346,children,2656
96346,interictal epileptiform discharge,7163
96347,compliance,3166
96347,subject-ventilator synchrony,13018
96347,non-invasive ventilator,9746
96347,pneumatic response,10951
96348,weight loss,13880
96348,arterial distensibility,1122
96350,snoring,16381
96352,western blot,13888
96352,wakefulness,15083
96352,paraoxonase,10450
96352,modafinil,8831
96352,narcolepsy,9240
96352,dopamine,4294
96352,hypothalamus,6692
96354,circadian rhythms,2846
96354,adolescent,419
96354,behaviour,1513
96355,circadian rhythm,2840
96356,actigraphy,259
96356,electrodermal activity,4621
96356,sleep offset,15025
96356,sleep onset,15681
96356,sleep period time,12647
96357,resting state,12088
96357,functional mri,5423
96357,hypercapnia,6539
96357,brain,1835
96358,facial growth pattern,5138
96358,mcnamara airway analysis,8371
96358,pharyngeal airway space,10760
96360,myocardial ischemia,9180
96360,left ventricular hypertrophy,7739
96360,diving,4262
96361,nocturnal hypoxia,9651
96361,oxygen saturation,9871
96361,stroke,12980
96362,thrombelastography,13304
96362,thrombosis,15166
96362,carbon monoxide,2090
96362,iron,7339
96363,hypoxia,6716
96363,adaptation,331
96363,respiratory disturbance,11985
96363,quality of sleep,15339
96364,lone atrial fibrillation,7949
96365,intermittent hypoxia,7176
96365,inflammation,6984
96367,radiotherapy,11677
96367,prone positioning,14857
96367,ondine curse,14867
96374,real time monitoring,11741
96374,wearable sensor,15539
96374,if then rules,6782
96374,knowledge extraction,7498
96376,human,6452
96376,computer simulation,3212
96376,pediatrics,14014
96377,metallothionein,8591
96377,cardiomyopathy,2182
96377,endoplasmic reticulum stress,4728
96377,intermittent hypoxia,7176
96378,intermittent hypoxia,7176
96378,cardiomyopathy,2182
96378,metallothionein,8591
96379,diabetes,3983
96379,hypertension,6451
96380,diagnostic technique and procedure,4035
96380,oximetry,10320
96382,black,1672
96382,hypertension,6451
96382,medication adherence,8474
96382,excessive daytime sleepiness,4522
96384,erythrocyte sedimentation rate,4911
96384,fibrinogen,5319
96384,inflammation,6984
96385,feature selection,5244
96385,classification,2872
96386,breathing monitoring,1921
96386,vital sign,16237
96386,ultrawideband radar,13572
96387,breathing monitoring,1921
96387,behaviour,1513
96388,deglutition disorder,3849
96388,deglutition,3848
96388,fiberoptic endoscopic evaluation of swallowing,5301
96389,healthy subject,6117
96389,upper airway morphology,13621
96389,particle deposition,10489
96389,posture,15174
96390,macro-sleep-architecture,8127
96390,electroencephalogram,4623
96390,bispectrum analysis,1661
96391,oximetry,10320
96391,support vector machine,15133
96392,spectral analysis,16128
96392,boosting,1804
96392,airflow,528
96392,linear discriminant analysis,7848
96393,heart rate variability,6139
96393,support vector machine,15133
96396,physical exercise,10850
96398,sleep quality,14537
96398,arousal index,1099
96400,bilevel positive airway pressure st,1647
96400,entral sleep apnea,4805
96400,servo ventilation,12424
96401,empirical mode decomposition,4696
96402,unconstrained sleep apnea monitoring,16327
96402,polyvinylidene fluoride sensor,11573
96404,empirical mode decomposition,4696
96404,electroencephalogram,4623
96405,feature selection,5244
96405,recurrence quantification analysis,11776
96405,sleep apnea detection,12557
96405,soft decision fusion,12799
96406,primary care,11319
96406,extended clinical service,5086
96406,australia,1299
96406,disease state management,4206
96406,community pharmacy,3118
96406,community pharmacy service,3119
96410,nasal surgery,9342
96411,sleep,12542
96411,traumatic brain injury,13483
96412,adaboost,328
96412,electrocardiography,4486
96412,machine learning,8119
96413,liver,7907
96413,intermittent hypoxia,7176
96415,thoracic impedance,13291
96416,electrocardiography,4486
96416,atrial fibrillation,1251
96417,electrocardiography derived respiration,4490
96417,heart rate,6138
96417,respiratory myogram interference,12026
96418,mueller maneuver,9007
96418,tongue base thickness,16447
96418,ultrasound,15925
96419,time frequency,14567
96419,pulse rate variability,14193
96419,children,2656
96420,healthcare,6102
96420,fuzzy logic,5605
96422,multivariate,9082
96422,spo2,12885
96423,interface,7157
96423,compliance,3166
96423,continuous positive,3352
96423,adherence,389
96424,compliance,3166
96424,pap,10421
96425,growth,5946
96426,difficult airway,4108
96428,cerebral hemodynamic,2473
96428,bedside monitoring,1510
96428,hemodynamic oscillation,6199
96428,sleep,12542
96429,feature extraction,5242
96429,logistic regression,7945
96429,decision tree algorithm,3818
96431,auto detection,1324
96431,principal component analysis,11335
96431,respiratory event,11993
96433,arteries,1136
96433,intermittent hypoxia,7176
96433,hypertension,6451
96435,transsphenoidal surgery,16235
96436,stroke,12980
96436,rehabilitation,11835
96437,photoplethysmography,10836
96439,polycystic ovary syndrome,10562
96439,resistant hypertension,14222
96439,renal nerve ablation,11890
96439,renal sympathetic denervation,11896
96439,left ventricular hypertrophy,7739
96439,glucose metabolism,5857
96439,diastolic dysfunction,4070
96440,acoustic feature,232
96440,feature selection,5244
96440,regression,11827
96440,neck fluid volume,9398
96440,tracheal sounds,15178
96441,sensorial stimulation,15647
96441,oxygen saturation,9871
96441,night care,9577
96442,sevoflurane,12434
96442,sedation,802
96442,emergence agitation,4671
96442,dexmedetomidine,3978
96443,exercise tolerance,5038
96443,sleep,12542
96444,sleep efficiency,15871
96444,sleep fragmentation,16249
96444,heart rate,6138
96445,critical closing pressure,3636
96445,anesthesia,812
96445,sniffing position,12758
96445,upper airway collapsibility,13601
96446,crash,3621
96446,high-deck bus,6295
96446,freeway,5525
96446,injury severity,7028
96447,jaw,7400
96447,mandibular advancement,8225
96447,compliance,3166
96447,bula,1979
96447,splints schfla,16252
96448,uric acid,16342
96448,metabolic syndrome,8583
96448,renal dysfunction,11883
96448,platelet,10928
96448,arterial stiffness,1133
96448,cytokine,3723
96448,diagnostic criteria,4025
96448,lipid,7875
96449,cardiorenal syndrome,2196
96449,resistant hypertension,14222
96449,renal denervation,15121
96449,sympathetic nervous system,12784
96451,sleep apea syndrome,12307
96451,bioimpedance,1615
96451,atrial fibrillation,1251
96451,chronic heart failure,2629
96451,hypertension,6451
96452,endoscopic retrograde cholangiopancreatography,4744
96452,endoscopy,4749
96452,colonoscopy,3082
96452,morbid obesity,8896
96454,pharyngeal anatomy,14876
96454,snoring,16381
96454,breathing resistance,1925
96454,breathing related sleep disorder,1934
96455,vascular risk factor,15824
96455,psoriasis,11440
96455,metabolic syndrome,8583
96455,non-alcoholic fatty liver disease,14090
96456,stereology,12948
96456,sexual dimorphism,12442
96456,histology,6331
96457,safety,12284
96457,metabolic surgery,8582
96458,oxygen saturation,9871
96458,recursive feature elimination,11787
96458,event detection,4988
96460,hypertension,6451
96460,noradrenaline spillover,14692
96460,microneurography,8665
96460,sympathetic nervous system,12784
96460,sympathetic hyperactivity,14250
96461,systemic inflammation,13974
96461,cysteinyl leukotriene,3717
96462,brown adipose tissue,1964
96462,cardiovascular effect,2235
96462,anti-obesity,932
96462,incretin,6917
96462,trpv1,15926
96462,slgt2,12734
96463,resistin,11941
96463,primary snoring,11332
96464,pai-1,10370
96464,inflammation,6984
96464,depression,3923
96465,behaviour,1513
96465,sertraline,12417
96468,zinc,14297
96468,copper,3423
96469,adenoid vegetation,358
96469,imaging,6812
96469,pediatric obstructive sleep apnea hypopnea syndrome,10589
96470,numerical simulation,9855
96471,modafinil,8831
96471,randomized trial,15388
96471,excessive daytime sleepiness,4522
96471,histamine subtype-3 receptor,6326
96472,systemic inflammation,13974
96472,rheumatic disease,12168
96474,intermittent hypoxia,7176
96474,interleukin 6,6796
96474,apoptosis,1056
96475,electrical stimulation,4606
96475,meta analysis,8558
96476,qt interval,11593
96476,sleep,12542
96478,mas,8298
96479,esophageal pressure,4934
96479,mixed sleep apnea,8812
96480,hemodialysis,6193
96482,child,2635
96482,sleep bruxism,12580
96482,snoring,16381
96483,velopharynx,13728
96483,pharyngeal wall pressure,10800
96484,wavelet analysis,13870
96484,severity of apnea,12432
96484,heart rate variability,6139
96484,fft,5288
96485,septoplasty,12405
96485,nasal septum,9335
96486,dopamine,4294
96486,adaptation,331
96488,oral appliance,15334
96488,positive airway pressure,11086
96488,surgery for obstructive sleep apnea,13083
96489,deglutition,3848
96489,deglutition disorder,3849
96489,head and neck,6036
96490,alcohol use,606
96490,sleep problem,12654
96491,nrf2,9832
96491,metallothionein,8591
96491,intermittent hypoxia,7176
96491,kidney hypoxic damage,7471
96492,melatonin,8507
96492,adipokine,398
96492,sleepwake rhythm,12728
96493,biomedical monitoring,1635
96494,matrix metalloproteinase 9,8337
96496,thin film,13279
96496,boundary energy,1816
96496,finite element,5345
96497,electrocardiogram,4609
96497,bioimpedance,1615
96497,stroke volume,12987
96497,mueller maneuver,9007
96497,respiration,11948
96498,preventive medicine,11313
96498,world trade center,13924
96498,community,3117
96499,aorta,968
96499,endothelin 1,4765
96500,dexmedetomidine,3978
96500,morbidly obese,8900
96501,severity,10023
96501,event morphology,4990
96501,event duration,4989
96502,finite element,5345
96502,growth,5946
96502,boundary energy,1816
96502,thin film,13279
96503,pulmonary arterial hypertension,11502
96503,central congenital hypoventilation syndrome,2415
96504,melatonin,8507
96504,intermittent hypoxia,7176
96504,rat,15288
96504,myocardial infarction,9177
96504,tempol,13225
96505,modafinil,8831
96505,conditioned place preference,3243
96506,respiration monitoring,11953
96506,sleep apnea detection,12557
96509,sympathetic nervous system,12784
96509,microneurography,8665
96509,acromegaly,251
96511,armodafinil,1090
96511,pharmacokinetics,10749
96513,human tongue,6470
96513,hill model,6310
96513,fem,5252
96514,computer aided design/computer aided manufacturing,2017
96514,dentistry,3909
96514,rapid prototyping,11712
96515,spectral features,14486
96515,classification,2872
96515,linear discriminant analysis,7848
96516,rat,15288
96516,numerical simulation,9855
96518,wakefulness,15083
96518,tracheal sound,15600
96518,sleep,12542
96519,spo2,12885
96519,multiparametric,9052
96519,multivariate,9082
96519,probabilistic neural network,15183
96519,cross validation,3649
96520,respiratory waveform,14302
96521,tumor necrosis factor,13363
96521,troponin i,13514
96521,anabolic agent,754
96522,duration,4419
96522,severity,10023
96522,odi,10015
96524,traffic safety,13438
96524,attention,1270
96524,daytime sleepiness,3788
96525,mas,8298
96525,pressure drop,11271
96526,snoring,16381
96526,excessive daytime sleepiness,4522
96527,respiration,11948
96528,respiratory rate variability,14384
96528,pattern recognition,10556
96528,airflow,528
96531,leptin,7769
96531,resistin,11941
96531,obstructive,9918
96535,glucose variability,5865
96536,body position,1775
96536,snoring,16381
96537,suvorexant,13115
96537,insomnia,7050
96541,behaviour,1513
96541,dream,4332
96541,clonazepam,2964
96541,pseudo-rem behavior disorder,11436
96542,narcolepsy,9240
96542,schizophrenia,15337
96543,modafinil,8831
96543,retrieval,14793
96543,consolidation,3311
96543,learning,7701
96544,endothelin 1,4765
96544,apocynin,1052
96545,iron,7339
96545,modafinil,8831
96546,neuromuscular disease,14506
96546,rehabilitation,11835
96546,transcutaneous,14524
96546,hypoventilation,6702
96546,home care service,6365
96546,blood gas monitoring,1706
96556,rheumatoid arthritis,12170
96556,sleep,12542
96562,social support,12791
96562,qualitative content analysis,15547
96562,adherence,389
96571,biomedical signal processing,1637
96571,pattern recognition,10556
96571,snoring sound,12775
96575,sympathoexcitation,13135
96575,hypertension,6451
96576,metabolic syndrome,8583
96577,wireless monitoring,13906
96578,snoring,16381
96581,sympathetic,16215
96581,spectral analysis,16128
96581,parasympathetic,10458
96582,optical coherence tomography,10121
96583,genetic algorithm,5717
96583,feature selection,5244
96583,feature extraction,5242
96584,image processing,6808
96584,mandibular advancement devices,8229
96584,computational fluid dynamics,2554
96585,continuous positive airway pressure therapy,3366
96585,loreta,8012
96585,electrophysiology,4649
96585,omega complexity,10052
96586,difficult intubation,4112
96587,headache,6049
96587,migraine,8729
96587,systemic comorbidity,14566
96588,adolescent,419
96589,textile electrode,13246
96589,nighttime electrocardiogram,9592
96589,night-time heart rate variability,9593
96589,physiological monitoring,10870
96590,snoring,16381
96591,respiratory inductance plethysmography,12005
96592,oxygen desaturation index,10327
96593,modafinil,8831
96593,pharmacokinetics,10749
96593,armodafinil,1090
96594,sleep health,12606
96594,sleep hygiene,12611
96594,sleep deprivation,12586
96595,paraoxonase-1,10451
96595,oxidized low density lipid,10315
96595,nitric oxide,9604
96595,atherosclerosis,1142
96595,hdl,6032
96596,aggregation,498
96596,congenital central hypoventilation syndrome,2371
96596,phox2b,10837
96601,tonsillar hypertrophy,14694
96601,inflammation,6984
96602,rehabilitation,11835
96604,vas,13692
96604,safety,12284
96604,growth hormone,5952
96604,gh,5789
96604,fibromyalgia impact questionnaire,5326
96604,fibromyalgia,5324
96604,fatigue,5223
96605,feature selection,5244
96605,artificial neural network,1153
96606,sleep quality,14537
96610,analgesic,773
96610,chronic illness,2746
96610,heparin,6221
96610,liver cirrhosis,7909
96610,liver dysfunction,7911
96610,liver failure,7913
96611,hemorheology,6215
96611,arterioles,1137
96611,pharmacology,10752
96611,microcirculation,8646
96611,metformin,8596
96612,reliability,11841
96612,sleep,12542
96612,biomedical monitoring,1635
96613,sleep efficiency,15871
96613,sleep/wake estimation,16233
96614,saturation of peripheral oxygen,12315
96614,classifier combination,2875
96614,feature selection,5244
96614,electrocardiograph,4613
96614,machine learning,8119
96615,support vector machine,15133
96615,respiratory effort,11989
96615,paradoxical breathing,14593
96615,oxygen saturation,9871
96616,nasal surgery,9342
96616,fluid-structural interaction,5415
96616,aerodynamic force,470
96617,snore sound,12766
96617,snore time interval,16424
96619,sound analysis,15656
96619,respiratory sound,12056
96619,classification,2872
96619,feature extraction,5242
96620,network analysis,14114
96620,metabolism,8586
96620,microarray,8640
96621,lung,8065
96621,impedance,6856
96621,airway mechanics,558
96621,asthma,1198
96624,carotid body,2292
96624,intermittent hypoxia,7176
96625,functional magnetic resonance imaging,5581
96625,carbon dioxide,2079
96625,cerebral blood flow,2465
96625,prefrontal cortex,11227
96625,temporal lobe,13228
96627,sleep electroencephalogram,12601
96627,mutual information,9153
96627,coherence function,3057
96627,electroencephalography classification,4538
96630,electrocardiography analysis,4488
96630,estimated respiration,4947
96632,intermittent hypoxia,7176
96634,muscle model,9120
96634,neural control model,9457
96634,tongue,15620
96635,multiple linear regression,9058
96635,multilayer perceptron neural network,9036
96635,oxygen saturation,9871
96635,regression analysis,11828
96636,rehabilitation,11835
96636,multiple sclerosis,8991
96636,sleep,12542
96636,baclofen,1429
96637,baroreflex sensitivity,1473
96637,glucose tolerance,5861
96637,pulse transit time,11549
96638,multiple system atrophy,9071
96638,orthostatic hypotension,10209
96638,nicotine,14605
96638,autonomic failure,1362
96639,photoplethysmography,10836
96646,adherence,389
96646,educational program,4527
96666,community pharmacy,3118
96666,device,3969
96668,non-linearity,9759
96669,telehealth,13215
96669,ehealth,4573
96670,fiberoptic,5299
96670,flexible endoscopy,5376
96670,children,2656
96670,allergic rhinitis,634
96670,rhinosinusitis,12177
96670,snoring,16381
96670,paediatric patient,10365
96670,nasal endoscopy,9295
96670,nasal obstruction,9312
96671,nasal obstruction,9312
96671,nasal endoscopy,9295
96671,microdebrider,8648
96671,paediatric patient,10365
96671,power-assisted,11180
96671,snoring,16381
96671,transnasal,13470
96671,transoral,15832
96671,adenoidectomy,362
96671,children,2656
96672,discriminant analysis,4186
96672,breathing route,1927
96672,snoring sound,12775
96673,discrete wavelet transform,4184
96673,fast fourier transform,5203
96673,electrocardiography derived respiration,4490
96675,sleep quality,14537
96675,rheumatoid arthritis,12170
96675,osteoarthritis,10236
96676,airway reconstruction,568
96678,biosignal processing,1645
96678,sleep,12542
96679,p-wave,11578
96679,auto detection of obstructive sleep apnea,1325
96680,baroreflex sensitivity,1473
96680,blood pressure variability,1733
96681,biomedical signal processing,1637
96682,pulmonary arterial hypertension,11502
96683,structural pattern recognition,15513
96685,acoustic analysis,229
96686,sleep dysfunction,15853
96686,rehabilitation,11835
96686,physical therapy,10854
96687,period amplitude analysis,10645
96687,computerized detection,3224
96689,efficacy,4564
96689,safety,12284
96689,weight loss,13880
96690,weight loss,13880
96690,metabolic syndrome x,8584
96690,inflammation,6984
96692,canadian institute for health information,2045
96692,paediatrics,10368
96694,perturbation,10726
96694,post-critical analysis,14639
96694,upper airway system,15995
96694,stability,15368
96694,bifurcation,1567
96694,apnea,997
96694,critical condition,3637
96694,ideal fluid,6761
96695,greyart network,5940
96695,syndrome recognition,13156
96696,soft palate level,12803
96696,dynamic computed tomography,4433
96696,3d imaging,70
96697,electroencephalogram,4623
96697,frequency variation,5532
96697,hilbert-huang transformation,6309
96698,target,13198
96698,pharmacotherapy,10753
96699,support vector machine,15133
96699,home care,6364
96700,control of breathing,3392
96700,reference,11796
96700,opioid,10087
96702,bispectral analysis,1658
96702,electroencephalography signal,4545
96704,extracellular matrix,5102
96704,pharynx,15132
96705,voice onset time,16409
96705,vowel analysis,13843
96705,formant frequency,5475
96706,ambient recording,683
96706,snore sound,12766
96707,phox2b,10837
96707,mosaicism,8934
96707,genetic counseling,5723
96708,insomnia,7050
96708,melatonin,8507
96708,benzodiazepine,1533
96708,non-benzodiazepine,15349
96708,pharmacotherapy,10753
96708,sleep,12542
96710,brushless dc motor,1968
96710,c8051f005 mcu,2011
96711,patient compliance,15200
96711,physiological monitoring,10870
96712,thyroid gland function,13319
96712,childhood,2642
96714,mechanical ventilation,8398
96714,wireless monitoring,13906
96716,achondroplasia,214
96717,deglutition,3848
96717,sleep,12542
96717,respiratory phase pattern,12034
96717,nocturnal swallowing,9683
96719,pulse rate,11547
96720,respiratory parameter,12031
96721,road accident risk,12220
96721,drowsy driving,4372
96721,medical treatment,8466
96721,illness,6801
96721,fatigue,5223
96723,chronic heart failure,2629
96724,central respiratory control,2432
96724,prebtzinger complex,11202
96726,upper airway,14431
96726,mandibular repositioning appliance,8258
96729,electrocardiogram,4609
96729,support vector regression,15658
96729,respiratory movement,12021
96730,oral appliance,15334
96730,systemic hypertension,13170
96730,electrical hypoglossal nerve stimulation,4604
96730,atrial fibrillation,1251
96731,sleep monitoring,12632
96733,sodium oxybate,12796
96733,xyrem,13932
96733,narcolepsy,9240
96733,cataplexy,2341
96733,follow-up,5430
96734,biomedical monitoring,1635
96734,ultrawideband radar,13572
96739,metabolic syndrome,8583
96739,calcium channel blocker,2028
96739,hypertension,6451
96742,artificial neural network,1153
96742,abdominal effort signal,141
96742,discrete wavelet transform,4184
96742,sub-band energy,12998
96742,sleep apea syndrome,12307
96743,multivariate recurrence plot analysis,9090
96743,electrocardiography derived respiration,4490
96748,interleukin 6,6796
96749,frequency domain analysis,5531
96749,time-domain analysis,15665
96756,respiratory disorders during sleep,15150
96762,sleep latency,15677
96762,sleepiness,12700
96762,electroencephalography,4529
96762,bispectrum,1660
96767,1/f slope,5
96767,entropy,4808
96767,symbolic dynamics,13129
96768,wearable sensor,15539
96768,selfsimilarity,16040
96768,hypoxia,6716
96769,simple snorer,12505
96769,snore sound,12766
96769,tracheal sounds,15178
96769,portable monitoring,11045
96770,tracheal,14223
96770,ambient recording,683
96770,breath,1894
96770,classification,2872
96771,diabetes,3983
96773,armodafinil,1090
96773,pharmacokinetics,10749
96773,modafinil,8831
96774,intermittent hypoxia,7176
96775,image processing,6808
96775,optical coherence tomography,10121
96775,upper airway anatomy,14308
96776,sunitinib,15909
96776,renal cell carcinoma,11880
96778,pose recognition,14300
96778,obscured pose estimation,14545
96778,covered body analysis,3535
96779,linear discriminant analysis,7848
96779,oxygen saturation,9871
96779,pattern classification,10555
96779,spectral analysis,16128
96780,sample entropy,14275
96781,hypoxemia,6713
96781,excess weight,5008
96781,gastric bypass,5654
96783,linear and non-linear methods,7847
96783,lyapunov,8097
96783,sleep,12542
96783,music,9145
96784,key-lock principle,7458
96784,upper airway image slices,16370
96784,upper airway segmentation,15655
