art_id,keyword,art_year,citation,title,author_name,affiliation_1,affiliation_2,country
96206,acoustics; cantilevered flexible plate; fluidstructure interaction; high order finite difference method; obstructive sleep apnea syndrome,2016,0,Interaction between a simplified soft palate and compressible viscous flow,khalili m; larsson m; mller b,department of energy and process engineering  norwegian university of science and technology ntnu  kolbjørn hejes vei; sintef materials and chemistry  sp andersens vei b,trondheim,norway
96207,hotfilm airflow sensor; humidity drift; sleep apnea; wavelet analysis,2016,0,Elimination of drifts in long-duration monitoring for apnea-hypopnea of human respiration,jiang p; zhu r,state key laboratory of precision measurement technology and instrument  department of precision instrument  tsinghua university,beijing,china
96208,attention; children; epilepsy; hyperactivity; sleep,2016,1,Sleep-Related Disorders in Children with Attention-Deficit Hyperactivity Disorder Preliminary Results of a Full Sleep Assessment Study,miano s; esposito m; foderaro g; ramelli gp; pezzoli v; manconi m,clinic of child and adolescent neuropsychiatry  department of mental health  physical and preventive medicine  second university of naples; department of pediatrics  civic hospital of lugano; department of pediatrics  san giovanni hospital; sleep and epilepsy center  neurocenter of southern switzerland  civic hospital of lugano,bellinzona; lugano; naples,italy; switzerland
96210,daytime sleepiness; obstructive sleep apnoea; sleep quality,2016,0,Prevalence of poor sleep quality sleepiness and obstructive sleep apnoea risk factors in athletes,swinbourne r; gill n; vaile j; smart d,faculty of sport and recreation  auckland university of technology; faculty of sport and recreation  auckland university of technology  auckland  new zealand  sport research institute new zealand  auckland university of technology; physiology  australian institute of sport; sport research institute new zealand  auckland university of technology,auckland; canberra,australia; new zealand
96211,aldosterone; continuous positive airway pressure; metaanalysis; obstructive sleep apnea,2016,0,Effects of continuous positive airway pressure therapy on plasma aldosterone levels in patients with obstructive sleep apnea A meta-analysis,deng g; qiu z-d; li d-y; fang y; zhang s-m,department of neurology  tongji hospital  tongji medical college  huazhong university of science and technology,wuhan,china
96212,antiinflammatory; antiobesity; antioxidant; indian medicinal plants; lipase inhibitory activity,2016,0,In vitro anti-obesity antioxidant and anti-inflammatory studies on the selected medicinal plants,karthiga t; venkatalakshmi p; vadivel v; brindha p,centre for advanced research in indian system of medicine carism  sastra university  thanjavur; pg and research department of biochemistry  sengamala thayaar educational trust womens college  mannargudi,tamilnadu,india
96213,inflammation; obstructive sleep apnea syndrome; thymosin ,2016,0,Serum Thymosin 4 Concentrations in Obstructive Sleep Apnea Syndrome Patients,liu y; liu m; shi y; liu y,department of emergency  the affiliated hospital of weifang medical college  weifang; department of respiratory medicine  the affiliated hospital of weifang medical college  weifang,shandong,china
96215,alzheimers disease; cognitive deterioration; continuous positive airway pressure; obstructive sleep apnea syndrome; pathophysiology; preventive strategies,2016,0,Obstructive sleep apnea syndrome An emerging risk factor for dementia,buratti l; luzzi s; petrelli c; baldinelli s; viticchi g; provinciali l; altamura c; vernieri f; silvestrini m,neurological clinic  campus biomedico university; neurological clinic  department of experimental and clinical medicine  marche polytechnic university,ancona; rome,italy
96216,alprazolam; anesthesia; hypopnea; obstructive; perioperative period; postoperative complications; sleep apnea,2016,0,Influence of premedication with alprazolam on the occurence of obstructive apneas A prospective randomized double-blind study,deflandre e; bonhomme v; courtois a-c; degey s; poirrier r; brichant j-f,cabinet medical astes; department of anesthesia  clinique saintluc bouge belgium  cabinet medical astes  jambes belgium  university of liege; department of anesthesia and icm  chu liege liege belgium  chu sarttilman  domaine du sarttilman; department of neurology  chu liege liege belgium  chu sarttilman  domaine du sarttilman; department of physical medicine and functional readaptation  chrh; university department of anesthesia and icm  chr citadelle and chu liege liege belgium  chu sarttilman domaine du sarttilman,huy; jambes; liege,belgium
96217,doppler radar; fastica; respiration pattern; source separation,2016,0,Separation of Doppler radar-based respiratory signatures,lee ys; pathirana pn; evans rj; steinfort cl,department of electrical and electronic engineering  the melbourne university  melbourne; school of engineering  deakin university  geelong; university hospital geelong  geelong,vic,australia
96218,acoustic pharyngometry; deglutition; deglutition disorders; oral cavity; pharynx; reliability,2016,0,The Reliability of Oral and Pharyngeal Dimensions Captured with Acoustic Pharyngometry,molfenter sm,department of communication sciences  disorders  new york university   broadway  rm   new york,ny,united states
96220,bioinspired data processing; datadriven biomedical data processing; eeg; semantic biomedical data interpretation; sleep apnea semantic interpretation,2016,1,DataDriven Multimodal Sleep Apnea Events Detection Synchrosquezing Transform Processing and Riemannian Geometry Classification Approaches,rutkowski tm,life science center of tara university of tsukuba  tennodai   tsukubashi,ibaraki,japan
96221,electrocardiogram; hidden markov model; obstructive sleep apnea; temporal dependence,2016,1,An Obstructive Sleep Apnea Detection Approach Using a Discriminative Hidden Markov Model from ECG Signals,song c; liu k; zhang x; chen l; xian x,department of industrial and systems engineering  college of engineering  university of wisconsin; department of industrial engineering and management  college of engineering  peking university,beijing; madison,china; united states
96223,cardiovascular risk; matching pursuit; neurofuzzy system; photoplethysmography; sleep,2016,3,Detection of cardiovascular risk from a photoplethysmographic signal using a matching pursuit algorithm,sommermeyer d; zou d; ficker jh; randerath w; fischer c; penzel t; sanner b; hedner j; grote l,department of internal medicine and clinical nutrition  center for sleep and vigilance disorders  sahlgrenska academy  university of gothenburg; department of internal medicine and clinical nutrition  center for sleep and vigilance disorders  sahlgrenska academy  university of gothenburg  gothenburg  sweden  institut für assistenzsysteme und qualifizierung ev; department of pulmonary medicine  agaplesion bethesda krankenhaus wuppertal; department of pulmonary medicine  bethanien hospital; department of respiratory medicine  allergology and sleep medicine  klinikum nuernberg  nuremberg  germany  paracelsus medical university; interdisciplinary center of sleep medicine  charité  universitätsmedizin berlin; interdisciplinary center of sleep medicine  charité  universitätsmedizin berlin  berlin  germany  roche diabetes care gmbh,berlin; gothenburg; karlsruhe; mannheim; nuremberg; solingen; wuppertal,germany; sweden
96225,creactive protein; obstructive sleep apnea; uric acid; uvulopalatopharyngoplasty,2016,0,Influence of uvulopalatopharyngoplasty on serum uric acid level in obstructive sleep apnea patients,zheng y-l; wan y-f; xie c-l; huai d; wang y; he y-q; xu c-q; chen j-h; zheng d-h,department of anesthesiology  huaian hospital of xuzhou medical college; department of nephrology  huaian hospital of xuzhou medical college  no  south huaihai road; department of respiratory diseases  huaian hospital of xuzhou medical college; ent department  huaian hospital of xuzhou medical college,huaian,china
96226,breathing; health care; heart rate variability; polysomnography; pressure sensor; sleep apnea; sleep monitoring; sleeping pose,2016,0,Sleep monitoring based on a tri-axial accelerometer and a pressure sensor,nam y; kim y; lee j,department of biomedical engineering  wonkwang university school of medicine  iksan; department of civil  environmental engineering  worcester polytechnic institute  worcester; department of computer science and engineering  soonchunhyang university,asan; jeonbuk; ma,south korea; united states
96227,coronary artery disease; myocardial infarction; obstructive sleep apnea; percutaneous coronary intervention,2016,0,Obstructive sleep apnea affects the clinical outcomes of patients undergoing percutaneous coronary intervention,zhang j-j; gao x-f; ge z; jiang x-m; xiao p-x; tian n-l; kan j; lee c-h; chen s-l,department of cardiology; department of cardiology  nanjing first hospital  nanjing medical university; department of cardiology  nanjing first hospital  nanjing medical university  nanjing  china  department of cardiology  nanjing heart center; department of cardiology  nanjing heart center,nanjing; national university heart center,china; singapore
96228,elastic modulus; finite element analysis; human upper airway collapse; obstructive sleep apnea; passive static pharynx; young modulus,2016,0,Simulation of muscle and adipose tissue deformation in the passive human pharynx,carrigy nb; carey jp; martin ar; remmers je; zareian a; topor z; grosse j; noga m; finlay wh,department of mechanical engineering  university of alberta  edmonton; department of radiology and diagnostic imaging  university of alberta  edmonton; zephyr sleep technologies inc  calgary; zephyr sleep technologies inc  calgary  ab  canada  department of cell biology and anatomy  university of calgary  calgary; zephyr sleep technologies inc  calgary  ab  canada  department of physiology and pharmacology  university of calgary  calgary,ab,canada
96229,autonomic nervous system; brainheart interactions; delta sleep electroencephalogram; granger causality; heart rate variability; synergy and redundancy,2016,1,Predictability decomposition detects the impairment of brain-heart dynamical networks during sleep disorders and their recovery with treatment,faes l; marinazzo d; stramaglia s; jurysta f; porta a; nollo g,biotech  department of industrial engineering  university of trento  trento  italy  ircs program  patfbk; department of biomedical sciences for health  university of milan  milan  italy  department of cardiothoracic  vascular anesthesia and intensive care  irccs policlinico san donato  san donato milanese; department of data analysis  university of ghent; department of physics  university of bari  bari  italy  infn sezione di bari; sleep laboratory  department of psychiatry  ulberasme academic hospital,bari; brussels; ghent; milan; trento,belgium; italy
96230,accuracy; airway; biomedical engineering; biomedical equipment; biomedical imaging; bronchoscopy; calibration; deglutition; endoscopes; esthesiometer; fiber lasers; larynx; mechanoreceptor; medical diagnosis; optical fibers; pharynx; range finder; reflex,2016,0,Design development and validation of a new laryngo-pharyngeal endoscopic esthesiometer and range-finder based on the assessment of air-pulse variability determinants,giraldo-cadavid lf; agudelo-otalora lm; burguete j; arbulu m; moscoso wd; martnez f; ortiz af; diaz j; pantoja ja; rueda-arango af; fernndez s,university of la sabana  departamento de medicina interna  school of medicine  autonorte de bogota  campus puente del comun  chia; university of la sabana  school of engineering  autonorte de bogota  campus puente del común  chia; university of navarra  school of medicine  irunlarea   pamplona; university of navarra  school of medicine  irunlarea   pamplona  navarra  spain  university of la sabana  school of medicine  autonorte de bogotá  campus puente del común  chia; university of navarra  school of sciences  irunlarea   pamplona; university of santo tomas  statistical consulting office  carrera,bogota; cundinamarca; navarra,colombia; spain
96231,cpap; elastic modulus; finite element analysis; mri; osa; tube law,2016,0,Upper Airway Elasticity Estimation in Pediatric Down Syndrome Sleep Apnea Patients Using Collapsible Tube Theory,subramaniam dr; mylavarapu g; mcconnell k; fleck rj; shott sr; amin rs; gutmark ej,department of aerospace engineering and engineering mechanics  ceas  university of cincinnati  cincinnati; department of aerospace engineering and engineering mechanics  ceas  university of cincinnati  cincinnati  oh  united states  uc department of otolaryngologyhead and neck surgery  cincinnati; department of pediatric otolaryngology  cincinnati childrens hospital medical center  cincinnati; division of pediatric radiology  cincinnati childrens hospital medical center  cincinnati; division of pulmonary biology  cincinnati childrens hospital medical center  cincinnati; division of pulmonary medicine  cincinnati childrens hospital medical center  cincinnati  oh  united states  department of pediatrics  college of medicine  university of cincinnati  cincinnati,oh,united states
96232,access; electronic consult; sleep apnea; telemedicine; veterans administration medical center,2016,2,Impact of Sleep Telemedicine Protocol in Management of Sleep Apnea A 5-Year VA Experience,baig mm; antonescu-turcu a; ratarasarn k,division of pulmonary medicine  clement j zablocki va medical center   west national avenue  milwaukee; division of pulmonary medicine  clement j zablocki va medical center   west national avenue  milwaukee  wi  united states  division of pulmonary medicine  medical college of wisconsin  milwaukee,wi,united states
96233,doppler radar; noncontact measurement; respiratory disturbance index; sleep apneahypopnea syndrome; vital signs,2016,0,Non-contact diagnostic system for sleep apneahypopnea syndrome based on amplitude and phase analysis of thoracic and abdominal Doppler radars,kagawa m; tojima h; matsui t,department of respiratory medicine  tokyo rosai hospital   omoriminami  ohtaku; faculty of system design  tokyo metropolitan university   asahigaoka  hino,tokyo,japan
96234,alzheimers disease; amyloid beta; inflammation; melatonin; memantine; minocycline; modafinil; oxidative and nitrosative stress; tau hyperphosphorylation,2016,1,Pharmacotherpy and alzheimers disease The M-drugs melatonin minocycline modafinil and memantine approach,daulatzai ma,sleep disorders group  eeemelbourne school of engineering  the university of melbourne  parkville,vic,australia
96235,inflammatory cytokine; intermittent hypoxia; microglia; p signaling pathways,2016,0,Intermittent hypoxia reduces microglia proliferation and induces DNA damage in vitro,liu s; wang z; xu b; chen k; sun j; ren l,department of medical oncology  fudan university shanghai cancer center  shanghai  china  department of oncology  shanghai medical college  fudan university; department of neurology  beijing friendship hospital  capital medical university; department of respiratory medicine  beijing friendship hospital  capital medical university; department of respiratory medicine  xinhua hospital affiliated to shanghai jiao tong university school of medicine,beijing; shanghai,china
96236,apnea classification; apnea screening; screening algorithms; ubiquitous health system,2016,1,An automatic apnea screening algorithm for children,ros sa; erazo l,business intelligence research center  department of industrial engineering  university of chile  av republica,santiago,chile
96237,adjustedahi; ahi; morbidity; mortality; obstructive sleep apnea,2016,0,RemLogic plug-in enables clinical application of apnea-hypopnea index adjusted for severity of individual obstruction events,leppnen t; srkk m; kulkas a; muraja-murro a; kupari s; anttonen m; tiihonen p; mervaala e; tyrs j,department of clinical neurophysiology  kuopio university hospital  po box; department of clinical neurophysiology  kuopio university hospital  po box   kuopio  finland  department of applied physics  university of eastern finland; department of clinical neurophysiology  kuopio university hospital  po box   kuopio  finland  department of clinical neurophysiology  seinäjoki central hospital  seinäjoki  finland  department of applied physics  university of eastern finland; department of clinical neurophysiology  kuopio university hospital  po box   kuopio  finland  institute of clinical medicine  faculty of health sciences  university of eastern finland; department of clinical neurophysiology  kuopio university hospital  po box   kuopio  finland  school of computing  university of eastern finland; department of clinical neurophysiology  seinäjoki central hospital  seinäjoki  finland  department of applied physics  university of eastern finland,kuopio,finland
96238,driver fatigue; driving performance; sleep apnea; sleepiness,2016,0,The deterioration of driving performance over time in drivers with untreated sleep apnea,may jf; porter be; ware jc,eastern virginia medical school  division of sleep medicine  norfolk; old dominion university  department of psychology  norfolk; old dominion university  department of psychology  norfolk  va  united states  sentara healthcare  sleep centers  norfolk  va  united states  sentara norfolk general hospital   gresham drive  norfolk,va,united states
96239,biomedical flows; fluidstructure interaction; immersed boundary method,2016,1,Toward numerical simulations of fluidstructure interactions for investigation of obstructive sleep apnea,huang c-j; huang s-c; white sm; mallya sm; eldredge jd,mechanical and aerospace engineering  university of california  los angeles   westwood plaza  los angeles; oral and maxillofacial radiology  ucla school of dentistry  los angeles; ucla institute for digital research and education  los angeles,ca,united states
96240,airway elasticity; anisotropy; cpap; nonlinearity; radial displacements; sleep apnea,2016,0,Compliance Measurements of the Upper Airway in Pediatric Down Syndrome Sleep Apnea Patients,subramaniam dr; mylavarapu g; mcconnell k; fleck rj; shott sr; amin rs; gutmark ej,department of aerospace engineering and engineering mechanics  ceas  university of cincinnati  cincinnati; department of aerospace engineering and engineering mechanics  ceas  university of cincinnati  cincinnati  oh  united states  uc department of otolaryngologyhead and neck surgery  cincinnati; department of pediatric otolaryngology  cincinnati childrens hospital medical center  cincinnati; division of pediatric radiology  cincinnati childrens hospital medical center  cincinnati; division of pulmonary biology  cincinnati childrens hospital medical center  cincinnati; division of pulmonary medicine  cincinnati childrens hospital medical center  cincinnati  oh  united states  department of pediatrics  college of medicine  university of cincinnati  cincinnati,oh,united states
96241,animal models; atherosclerosis; cardiovascular diseases; chronic intermittent hypoxia; hypertension; obstructive sleep apnea hypopnea syndrome,2016,0,Research progress of chronic intermittent hypoxia animal models,ma l-q; zhang j-c; liu y,cardiovascular diseases center  xiyuan hospital of china academy of chinese medical sciences  beijing  china  china heart institute of chinese medicine  china academy of chinese medical sciences,beijing,china
96242,diagnosis model; fuzzy decision tree; obstructive sleep apnea,2016,0,A Prognosis Tool Based on Fuzzy Anthropometric and Questionnaire Data for Obstructive Sleep Apnea Severity,wang k-j; chen k-h; huang s-h; teng n-c,department of industrial management  national taiwan university of science and technology  no  sec   keelung rd  daan dist  taipei; department of sleep center  taipei medical university  taipei  taiwan  taiwan  department of psychiatry  psychiatric research center  taipei medical university  taipei; school of dentistry  college of oral medicine  taipei medical university  taipei  taiwan  taiwan  division of oral rehabilitation and center of pediatric dentistry  department of dentistry  taipei medical university hospital  taipei,taiwan,taiwan
96243,biomechanics; finite element analysis; fluidstructure interaction; nerve control; upper airway collapse,2016,0,Numerical study on the effect of nerve control on upper airway collapse in obstructive sleep apnea,rong q-g; ren s; li q-h,department of mechanics and engineering science  college of engineering  peking university; department of stomatology  affiliated hospital of academy of military medical sciences,beijing,china
96244,armodafinil; continuous positive airway pressure; metaanalysis; modafinil; obstructive sleep apnea; sleepiness,2016,1,Effects of Modafinil and Armodafinil in Patients with Obstructive Sleep Apnea A Meta-analysis of Randomized Controlled Trials,kuan y-c; wu d; huang k-w; chi n-f; hu c-j; chung c-c; tam k-w; huang y-h,center for evidencebased medicine  college of medicine  taipei medical university  taipei  taiwan  department of surgery  school of medicine  college of medicine  taipei medical university  taipei  taiwan  division of general surgery  department of surgery  taipei medical universityshuang ho hospital   zhongzheng road  zhonghe district; department of neurology  taipei medical universityshuang ho hospital   zhongzheng road  zhonghe district  new taipei city  taiwan  department of neurology  school of medicine  college of medicine  taipei medical university; department of neurology  taipei medical universityshuang ho hospital   zhongzheng road  zhonghe district  new taipei city  taiwan  department of neurology  school of medicine  college of medicine  taipei medical university  taipei  taiwan  college of medical science and technology  taipei medical university; department of neurology  taipei medical universityshuang ho hospital   zhongzheng road  zhonghe district  new taipei city  taiwan  sleep center  taipei medical universityshuang ho hospital  new taipei city  taiwan  department of neurology  school of medicine  college of medicine  taipei medical university; department of neurology  taipei medical universityshuang ho hospital   zhongzheng road  zhonghe district  new taipei city  taiwan  sleep center  taipei medical universityshuang ho hospital  new taipei city  taiwan  department of neurology  school of medicine  college of medicine  taipei medical university  taipei  taiwan  brain and consciousness research center  taipei medical universityshuang ho hospital; department of neurology  taipei medical universityshuang ho hospital   zhongzheng road  zhonghe district  new taipei city  taiwan  sleep center  taipei medical universityshuang ho hospital  new taipei city  taiwan  department of neurology  school of medicine  college of medicine  taipei medical university  taipei  taiwan  faculty of medicine  school of medicine  national yangming university; faculty of medicine  school of medicine  national yangming university  taipei  taiwan  department of gastroenterology  school of medicine  college of medicine  taipei medical university  taipei  taiwan  division of gastroenterology  department of internal medicine  taipei medical universityshuang ho hospital,new taipei city; taipei,taiwan
96245,closedloop therapy; kinesthetic stimulation; sleep apnea syndrome,2016,0,PASITHEA An Integrated Monitoring and Therapeutic System for Sleep Apnea Syndromes Based on Adaptive Kinesthetic Stimulation,hernndez ai; guerrero g; feuerstein d; graindorge l; perez d; amblard a; mabo p; ppin j-l; senhadji l,inserm  u  rennes  france  université de rennes   ltsi; inserm  u  rennes  france  université de rennes   ltsi  rennes  france  chu rennes  department of cardiology; sorin crm sas a livanova company; univ grenoble alpes  chu grenoble  sect physiol sommeil and exercice  inserm u  pole thorax and vaisseaux  lab efcr,clamart; grenoble; rennes,france
96246,concussion; insomnia; sleep; sleep apnea; sleep disorders; traumatic brain injury,2016,1,Sleep Sleep Disorders and Mild Traumatic Brain Injury What We Know and What We Need to Know Findings from a National Working Group,wickwire em; williams sg; roth t; capaldi vf; jaffe m; moline m; motamedi gk; morgan gw; mysliwiec v; germain a; pazdan rm; ferziger r; balkin tj; macdonald me; macek ta; yochelson mr; scharf sm; lettieri cj,defense and veterans brain injury center  contractor  general dynamics health solutions  evans army community hospital  fort carson; department of behavioral biology  walter reed army institute of research  center for military psychiatry and neuroscience research  silver spring; department of clinical science  cns  takeda development center  americas  deerfield; department of medicine  uniformed services university of the health sciences  bethesda; department of medicine  uniformed services university of the health sciences  bethesda  md  united states  department of sleep medicine  san antonio military medical center  san antonio; department of medicine  walter reed national military medical center  bethesda  md  united states  department of medicine  uniformed services university of the health sciences  bethesda; department of neurology  georgetown university hospital  washington; department of neurology  university of florida  gainesville  fl  united states  concussion and sports program  university of florida trauma  gainesville  fl  united states  uf health sleep disorders center  gainesville; department of psychiatry  university of maryland school of medicine  baltimore  md  united states  sleep disorders center  division of pulmonary and critical care  department of medicine  university of maryland school of medicine  baltimore; department of psychiatry  university of pittsburgh school of medicine  pittsburgh; eisai  inc  woodcliff lake; medstar national rehabilitation network  washington  dc  united states  departments of neurology and rehabilitation medicine  georgetown university school of medicine  washington; merck and co  kenilworth; sleep disorders and research center  henry ford hospital  detroit; sleep disorders center  division of pulmonary and critical care  department of medicine  university of maryland school of medicine  baltimore; sleep disorders center  national intrepid center of excellence  bethesda; us public health service  fort carson,co; dc; fl; il; md; mi; nj; pa; tx,united states
96248,cognition; head injury; rehabilitation; sleep,2016,1,Incidence characterization and predictors of sleep apnea in consecutive brain injury rehabilitation admissions,holcomb em; schwartz dj; mccarthy m; thomas b; barnett sd; nakase-richardson r,department of medicine  james a haley veterans hospital  tampa  fl  united states  department of medicine  university of south florida; department of mhbs  james a haley veterans hospital  polytrauma mail code    bruce b downs blvd  tampa; department of mhbs  james a haley veterans hospital  polytrauma mail code    bruce b downs blvd  tampa  fl  united states  department of medicine  university of south florida  tampa  united states  center of innovation in disability rehabilitation and research cindrr  james a haley veterans hospital  tampa  fl  united states  defense and veterans brain injury center dvbic  james a haley veterans hospital  tampa; department of research  james a haley veterans hospital  tampa; rehabilitation medicine  james a haley veterans hospital  tampa  fl  united states  department of neurology  university of south florida,fl; tampa,united states
96249,comorbidity; daytime sleepiness; insomnia; mental health; qualitative research; sleep disorders; traumatic brain injury; veterans,2016,1,A qualitative study of sleep-wake disturbance among veterans with post-acute moderate to severe traumatic brain injury,matthews ee; signoracci gm; stearns-yoder k; brenner la,rocky mountain mirecc  denver; rocky mountain mirecc  denver  co  united states  departments of psychiatry and physical medicine and rehabilitation  university of colorado  anschutz medical campus; rocky mountainmental illness research  education and clinical center mirecc  denver colorado  university of arkansas for medical sciences college of nursing,aurora; co; w markham st ar,united states
96250,hyoscinenbutylbromide; increased vagal tone; sleep apnea syndrome,2016,0,Increased vagal tone and sleep apnea syndrome,ahmed t,al madinah clinic  po box,madinah almunawara,saudi arabia
96251,hypercapnia; rehabilitation; spinal cord injuries,2016,5,Simplified approach to diagnosing sleep-disordered breathing and nocturnal hypercapnia in individuals with spinal cord injury,bauman ka; kurili a; schotland hm; rodriguez gm; chiodo ae; sitrin rg,department of physical medicine and rehabilitation  university of michigan health system  ann arbor; pulmonary and critical care medicine division  department of internal medicine  university of michigan health system  ann arbor; pulmonary and critical care medicine division  department of internal medicine  university of michigan health system  ann arbor  mi  united states  department of neurology  sleep disorders center  university of michigan health system  ann arbor,mi,united states
96252,adaboost; airflow; nonlinear analysis; sleep apneahypopnea syndrome; spectral analysis,2016,1,Utility of AdaBoost to Detect Sleep Apnea-Hypopnea Syndrome from Single-Channel Airflow,gutierrez-tobal gc; alvarez d; del campo f; hornero r,biomedical engineering group; biomedical engineering group  university of valladolid; sleep unit,hospital universitario rio hortega; university of valladolid; valladolid,spain
96253,approximate entropy; density estimation; entropy rate; kernel entropy; oxygen saturation; sample entropy,2016,0,Regularity analysis of nocturnal oximetry recordings to assist in the diagnosis of sleep apnoea syndrome,marcos jv; hornero r; nabney it; lvarez d; gutirrez-tobal gc; del campo f,grupo de ingeniería biomédica  ets ingenieros de telecomunicación  universidad de valladolid  paseo de belén; hospital universitario pío del río hortega de valladolid  dulzaina; nonlinearity and complexity research group  aston university  aston triangle,birmingham; valladolid,spain; united kingdom
96254,apneahypopnea index; oxygen desaturation index; sensitivity; sleep apnea; specificity,2016,0,Diagnostic accuracy of a mathematical model to predict apnea-hypopnea index using nighttime pulse oximetry,ebben mr; krieger ac,center for sleep medicine  weill cornell medical college  department of neurology   east st street  new york; center for sleep medicine  weill cornell medical college  department of neurology   east st street  new york  ny  united states  center for sleep medicine  weill cornell medical college  department of medicine   east st street  new york,ny,united states
96255,obesity; osa; positive airway pressure; weight loss,2016,0,Effect of positive airway pressure therapy on body mass index in obese patients with obstructive sleep apnea syndrome A prospective study,rishi ma; copur as; nadeem r; fulambarker a,captain james a lovell federal health care center   green bay road  north chicago  il  united states  rosalind franklin university of medicine and science  north chicago,il,united states
