S,D,art_year,art_id
pulmonary hypertension,zuelzerwilson syndrome,1981,101050
rapid eye movement sleep,wakefulness,1981,101055
hirschsprung disease,pulmonary hypertension,1981,101050
apnea,periodic movements,1982,99696
cheynestokes breathing,periodic breathing,1982,99906
food intake,neonates,1982,98065
hypoxia,periodic breathing,1982,99906
central apnoea,ventilation,1982,99823
qt interval,sudden infant death syndrome,1982,99836
carbon dioxide,hypoxia,1982,99906
control of breathing,hypercapnia,1982,99906
bioavailability,food intake,1982,99837
 h holter ecg,respiratory resistive load,1982,99816
aging,desaturation,1982,99916
hypnotic drugs,periodic movements,1982,99880
central apnoea,respiratory obstruction,1982,99823
aminophylline,respiration,1982,99836
hypercapnia,periodic breathing,1982,99906
chemoreceptor responses ,upper airway resistance,1982,99699
apnea,hypnotic drugs,1982,99880
hyperoxia,ventilatory control,1982,99883
respiratory obstruction,ventilation,1982,99823
co and oxygen response,sleep apnea,1982,99931
sleep apnea,sudden infant death syndrome,1982,99931
respiration control,sudden infant death syndrome,1982,99931
bioavailability,theophylline,1982,98065
cheynestokes breathing,hypoxia,1982,99906
airway maintenance,cor pulmonale,1982,99825
aging,hypnotic drugs,1982,99880
hyperoxia,obstructive apneic episodes,1982,99883
apnea,hypercapnia,1982,99906
postnatal period,sudden infant death syndrome,1982,99836
control of breathing,hypoxia,1982,99906
apnea,periodic movements,1982,99880
aging,sleep fragmentation,1982,99699
sleep apnea,sudden infant death syndrome,1982,99836
desaturation,upper airway resistance,1982,99916
aging,sleep,1982,99880
sleep,snoring,1982,99816
children,respiratory control abnormality,1982,99825
hypercapnia,sleep,1982,99906
aging,periodic movements,1982,99880
aging,chemoreceptor responses ,1982,99916
postnatal period,qt interval,1982,99836
co and oxygen response,respiration control,1982,99931
aging,sleep,1982,99696
apnea,nocturnal myoclonus,1982,99880
hypnotic drugs,nocturnal myoclonus,1982,99880
hypnotic drugs,sleep,1982,99696
desaturation,sleeprelated breathing disorders,1982,99699
hypoxia,sleep,1982,99906
neuropsychiatric changes,occupational diseases,1982,99914
bioavailability,premature infants,1982,99837
apnea,hypoxia,1982,99906
qt interval,respiration,1982,99836
hypoxia,sleep apnea,1982,99931
neonates,premature infants,1982,99837
aging,hypnotic drugs,1982,99696
periodic breathing,sleep,1982,99906
carbon disulfide,neuropsychiatric changes,1982,99914
sleep fragmentation,upper airway resistance,1982,99916
hypercapnia,hyperoxia,1982,99883
desaturation,sleep fragmentation,1982,99916
sleep fragmentation,sleeprelated breathing disorders,1982,99699
desaturation,sleep fragmentation,1982,99699
carbon dioxide,periodic breathing,1982,99906
desaturation,upper airway resistance,1982,99699
neonates,theophylline,1982,99837
aging,sleeprelated breathing disorders,1982,99699
 h holter ecg,tonsillectomy,1982,99816
central apnoea,sleep apnoea,1982,99823
sleeprelated breathing disorders,upper airway resistance,1982,99916
snoring,tonsillectomy,1982,99816
obstructive apneic episodes,sleep apneahypersomnolence syndrome,1982,99883
neonates,theophylline,1982,98065
behaviour,carbon disulfide,1982,99914
nocturnal myoclonus,sleep,1982,99696
hypnotic drugs,nocturnal myoclonus,1982,99696
hyperoxia,sleep apneahypersomnolence syndrome,1982,99883
apnea,nocturnal myoclonus,1982,99696
hypercapnia,sleep apneahypersomnolence syndrome,1982,99883
aminophylline,postnatal period,1982,99836
chemoreceptor responses ,sleeprelated breathing disorders,1982,99916
apnea,cheynestokes breathing,1982,99906
bioavailability,theophylline,1982,99837
bioavailability,neonates,1982,98065
obstructive apnea,sympathetic nervous system,1982,99872
food intake,theophylline,1982,98065
sleep apnea syndrome,tongue,1982,99875
nocturnal myoclonus,sleep,1982,99880
sleep apneahypersomnolence syndrome,ventilatory control,1982,99883
sleep apnea syndrome,tracheostomy,1982,99867
sleep apnoea,ventilation,1982,99823
apnea,carbon dioxide,1982,99906
periodic movements,sleep,1982,99880
hypoxia,sympathetic nervous system,1982,99872
hypoxia,sudden infant death syndrome,1982,99931
complications,ventilation,1982,99823
cheynestokes breathing,sleep,1982,99906
chemoreceptor responses ,sleep fragmentation,1982,99699
control of breathing,periodic breathing,1982,99906
premature infants,theophylline,1982,98065
chemoreceptor responses ,desaturation,1982,99916
behaviour,neuropsychiatric changes,1982,99914
hypercapnia,ventilatory control,1982,99883
carbon dioxide,cheynestokes breathing,1982,99906
aging,periodic movements,1982,99696
aging,nocturnal myoclonus,1982,99696
sleep fragmentation,upper airway resistance,1982,99699
norepinephrine,sleepapnea syndrome,1982,99872
aminophylline,sleep apnea,1982,99836
chemoreceptor responses ,desaturation,1982,99699
cheynestokes breathing,hypercapnia,1982,99906
apnea,periodic breathing,1982,99906
qt interval,sleep apnea,1982,99836
respiration control,sleep apnea,1982,99931
co and oxygen response,sudden infant death syndrome,1982,99931
hypercapnia,obstructive apneic episodes,1982,99883
acromegalia,tongue,1982,99875
palatopharyngoplasty,tracheostomy,1982,99867
sleeprelated breathing disorders,upper airway resistance,1982,99699
aging,nocturnal myoclonus,1982,99880
aging,sleeprelated breathing disorders,1982,99916
carbon dioxide,sleep,1982,99906
hypoxia,respiration control,1982,99931
children,cor pulmonale,1982,99825
chemoreceptor responses ,sleeprelated breathing disorders,1982,99699
apnea,sleep,1982,99696
hypoxia,norepinephrine,1982,99872
respiratory resistive load,snoring,1982,99816
apnea,hypnotic drugs,1982,99696
respiratory obstruction,sleep apnoea,1982,99823
complications,sleep apnoea,1982,99823
food intake,premature infants,1982,99837
postnatal period,respiration,1982,99836
central apnoea,complications,1982,99823
norepinephrine,sympathetic nervous system,1982,99872
aminophylline,qt interval,1982,99836
airway maintenance,children,1982,99825
aminophylline,sudden infant death syndrome,1982,99836
hypoxia,sleepapnea syndrome,1982,99872
postnatal period,sleep apnea,1982,99836
food intake,neonates,1982,99837
acromegalia,sleep apnea syndrome,1982,99875
aging,desaturation,1982,99699
control of breathing,sleep,1982,99906
hypercapnia,hypoxia,1982,99906
hypnotic drugs,periodic movements,1982,99696
behaviour,occupational diseases,1982,99914
apnea,sleep,1982,99880
palatopharyngoplasty,sleep apnea syndrome,1982,99867
complications,respiratory obstruction,1982,99823
norepinephrine,obstructive apnea,1982,99872
aging,sleep fragmentation,1982,99916
bioavailability,food intake,1982,98065
respiratory resistive load,tonsillectomy,1982,99816
periodic movements,sleep,1982,99696
respiration,sleep apnea,1982,99836
chemoreceptor responses ,sleep fragmentation,1982,99916
cheynestokes breathing,control of breathing,1982,99906
hypnotic drugs,sleep,1982,99880
bioavailability,neonates,1982,99837
 h holter ecg,snoring,1982,99816
desaturation,sleeprelated breathing disorders,1982,99916
sleep fragmentation,sleeprelated breathing disorders,1982,99916
sleep,tonsillectomy,1982,99816
aging,apnea,1982,99880
respiration,sudden infant death syndrome,1982,99836
respiratory resistive load,sleep,1982,99816
aging,upper airway resistance,1982,99916
nocturnal myoclonus,periodic movements,1982,99880
apnea,control of breathing,1982,99906
nocturnal myoclonus,periodic movements,1982,99696
co and oxygen response,hypoxia,1982,99931
carbon disulfide,occupational diseases,1982,99914
chemoreceptor responses ,upper airway resistance,1982,99916
apnea,sudden infant death syndrome,1982,99819
airway maintenance,respiratory control abnormality,1982,99825
cor pulmonale,respiratory control abnormality,1982,99825
hypoxia,obstructive apnea,1982,99872
neonates,premature infants,1982,98065
carbon dioxide,control of breathing,1982,99906
food intake,theophylline,1982,99837
aging,apnea,1982,99696
apnea,home monitoring,1982,99819
home monitoring,sudden infant death syndrome,1982,99819
carbon dioxide,hypercapnia,1982,99906
premature infants,theophylline,1982,99837
aging,upper airway resistance,1982,99699
food intake,premature infants,1982,98065
obstructive apnea,sleepapnea syndrome,1982,99872
sleepapnea syndrome,sympathetic nervous system,1982,99872
bioavailability,premature infants,1982,98065
obstructive apneic episodes,ventilatory control,1982,99883
aging,chemoreceptor responses ,1982,99699
apnea,sleep,1982,99906
 h holter ecg,sleep,1982,99816
breathing instability,high altitude natives,1983,99540
hemorheology,regulation mechanisms,1983,99544
apnea,sudden infant death syndrome,1983,99467
apnea,newborn,1983,99467
hypoxia,phrenic nerve,1983,99763
dopaminereceptor blockade,ventilatory response,1983,99530
apnea,tonsils,1983,99465
control of breathing,hyperoxia,1983,99763
cat,hypoglossal nerve,1983,99763
adenoids,sleep,1983,98056
breathing instability,central chemoreception,1983,99540
arousal,hypoxia,1983,99530
control of breathing,hypoglossal nerve,1983,99763
newborn,sudden infant death syndrome,1983,99467
sleep apnoea,tracheal sound analysis,1983,98055
central apnea,central chemoreception,1983,99540
newborn,sleep,1983,99467
hypoglossal nerve,nerve fiber,1983,99763
hyperoxia,nerve fiber,1983,99763
hyperoxia,phrenic nerve,1983,99763
cat,phrenic nerve,1983,99763
sleep,sudden infant death syndrome,1983,99764
newborn,rem sleep,1983,99467
arousal,dopaminereceptor blockade,1983,99530
arterial chemoreception,central apnea,1983,99540
arterial chemoreception,central chemoreception,1983,99540
airway radiography,tonsils,1983,99465
apnoea detection,tracheal sound analysis,1983,98055
sleep,sudden infant death syndrome,1983,99467
breathing instability,central apnea,1983,99540
sleep apnoea,tracheal sound analysis,1983,99464
apnea,sleep,1983,99465
hyperoxia,hypoglossal nerve,1983,99763
nerve fiber,phrenic nerve,1983,99763
central apnea,cheynestokes breathing,1983,99540
infants,siblings,1983,99764
apnea,sleep,1983,98056
apnoea detection,tracheal sound analysis,1983,99464
respiratory frequency,siblings,1983,99764
apnoea detection,sleep apnoea,1983,99464
adenoids,airway radiography,1983,99465
control of breathing,hypercapnia,1983,99763
central apnea,high altitude natives,1983,99540
apnea,rem sleep,1983,99467
central chemoreception,high altitude natives,1983,99540
hypercapnia,phrenic nerve,1983,99763
apnea,tonsils,1983,98056
hypoglossal nerve,hypoxia,1983,99763
rem sleep,sleep,1983,99467
cat,hypercapnia,1983,99763
control of breathing,phrenic nerve,1983,99763
infants,respiratory frequency,1983,99764
siblings,sleep,1983,99764
airway radiography,apnea,1983,99465
respiratory frequency,sleep,1983,99764
arousal,ventilatory response,1983,99530
hypercapnia,hyperoxia,1983,99763
sleep,tonsils,1983,98056
cheynestokes breathing,high altitude natives,1983,99540
arterial chemoreception,high altitude natives,1983,99540
apnoea detection,sleep apnoea,1983,125291
cat,control of breathing,1983,99763
hyperoxia,hypoxia,1983,99763
adenoids,apnea,1983,99465
cerebral blood flow,regulation mechanisms,1983,99544
central chemoreception,cheynestokes breathing,1983,99540
siblings,sudden infant death syndrome,1983,99764
adenoids,tonsils,1983,99465
hypercapnia,hypoglossal nerve,1983,99763
apnea,sleep,1983,99467
respiratory frequency,sudden infant death syndrome,1983,99764
airway radiography,apnea,1983,98056
control of breathing,hypoxia,1983,99763
apnoea detection,tracheal sound analysis,1983,125291
arterial chemoreception,breathing instability,1983,99540
airway radiography,tonsils,1983,98056
hypoxia,nerve fiber,1983,99763
arterial chemoreception,cheynestokes breathing,1983,99540
adenoids,tonsils,1983,98056
cat,nerve fiber,1983,99763
hypoxia,ventilatory response,1983,99530
sleep apnoea,tracheal sound analysis,1983,125291
infants,sleep,1983,99764
adenoids,sleep,1983,99465
hypercapnia,nerve fiber,1983,99763
cat,hyperoxia,1983,99763
hypoglossal nerve,phrenic nerve,1983,99763
adenoids,apnea,1983,98056
sleep,tonsils,1983,99465
airway radiography,sleep,1983,99465
apnoea detection,sleep apnoea,1983,98055
hypercapnia,hypoxia,1983,99763
adenoids,airway radiography,1983,98056
infants,sudden infant death syndrome,1983,99764
rem sleep,sudden infant death syndrome,1983,99467
cat,hypoxia,1983,99763
cerebral blood flow,hemorheology,1983,99544
control of breathing,nerve fiber,1983,99763
dopaminereceptor blockade,hypoxia,1983,99530
airway radiography,sleep,1983,98056
breathing instability,cheynestokes breathing,1983,99540
schlafapnoesyndrom,synchronization,1984,99360
insomnia,sleep,1984,99415
cats,hypercapnia,1984,99421
sleep apnea,sleep disordered breathing,1984,99399
larynx,superior laryngeal nerve,1984,99422
analgesics,propoxyphene,1984,99402
saugen und schlucken,sleep apnea syndrome,1984,99360
schliisselworter,sleep apnea syndrome,1984,99360
cervical cord,complications,1984,99303
electroencephalogram,polysomnography,1984,99376
benzodiazepines,hypnotics,1984,99402
hypercapnia,hypoglossal nerve,1984,99421
synchronisation,synchronization,1984,99360
sleep apnea syndrome,sucking and swallowing,1984,98050
cervical cord,sleep apnoea,1984,99303
polysomnography,reliability,1984,99399
schliisselworter,synchronisation,1984,99360
saugen und schlucken,synchronisation,1984,98050
sucking and swallowing,synchronization,1984,99360
synchronisation,synchronization,1984,98050
analgesics,diazepam,1984,99402
schlafapnoesyndrom,sleep apnea syndrome,1984,99360
sleep apnoea,surgery,1984,99303
schliisselworter,sleep apnea syndrome,1984,98050
reliability,sleep apnea,1984,99399
electrophysiology,polysomnography,1984,99399
superior laryngeal nerve,upper airway,1984,99422
sleep apnea syndrome,synchronization,1984,99360
airway receptors,larynx,1984,99422
complications,paracetamol,1984,99402
diazepam,propoxyphene,1984,99402
hypnotics,ventilatory failure,1984,99402
complications,propoxyphene,1984,99402
analgesics,benzodiazepines,1984,99402
dynamic responses,hypoxia,1984,99421
paracetamol,ventilatory failure,1984,99402
sleep apnea syndrome,synchronization,1984,98050
airway patency,superior laryngeal nerve,1984,99422
saugen und schlucken,sleep apnea syndrome,1984,98050
dynamic responses,phrenic nerve,1984,99421
saugen und schlucken,schlafapnoesyndrom,1984,99360
electrophysiology,reliability,1984,99399
dog,larynx,1984,99422
sleep apnea syndrome,synchronisation,1984,99360
saugen und schlucken,sucking and swallowing,1984,98050
measurement error,reliability,1984,99399
saugen und schlucken,schliisselworter,1984,99360
saugen und schlucken,schlafapnoesyndrom,1984,98050
schlafapnoesyndrom,schliisselworter,1984,99360
saugen und schlucken,synchronisation,1984,99360
airway patency,airway receptors,1984,99422
complications,diazepam,1984,99402
cognition,insomnia,1984,99415
hypnotics,paracetamol,1984,99402
airway receptors,superior laryngeal nerve,1984,99422
measurement error,sleep disordered breathing,1984,99399
complications,ventilatory failure,1984,99402
polysomnography,sleep apnea,1984,99399
complications,surgery,1984,99303
sleep apnea syndrome,synchronisation,1984,98050
larynx,upper airway,1984,99422
benzodiazepines,ventilatory failure,1984,99402
hypercapnia,phrenic nerve,1984,99421
hypoglossal nerve,hypoxia,1984,99421
cervical cord,surgery,1984,99303
schlafapnoesyndrom,synchronization,1984,98050
airway patency,upper airway,1984,99422
sucking and swallowing,synchronisation,1984,98050
sucking and swallowing,synchronisation,1984,99360
analgesics,paracetamol,1984,99402
analgesics,ventilatory failure,1984,99402
schlafapnoesyndrom,synchronisation,1984,99360
saugen und schlucken,synchronization,1984,98050
airway receptors,upper airway,1984,99422
electrophysiology,sleep apnea,1984,99399
benzodiazepines,complications,1984,99402
measurement error,sleep apnea,1984,99399
benzodiazepines,diazepam,1984,99402
polysomnography,sleep apnea,1984,99376
cognition,sleep,1984,99415
hypoxia,phrenic nerve,1984,99421
schlafapnoesyndrom,schliisselworter,1984,98050
schlafapnoesyndrom,sucking and swallowing,1984,99360
dynamic responses,hypoglossal nerve,1984,99421
schliisselworter,sucking and swallowing,1984,99360
sleep apnea syndrome,sucking and swallowing,1984,99360
benzodiazepines,propoxyphene,1984,99402
schliisselworter,sucking and swallowing,1984,98050
schlafapnoesyndrom,sleep apnea syndrome,1984,98050
sucking and swallowing,synchronization,1984,98050
insomnia,sleep,1984,99683
schlafapnoesyndrom,sucking and swallowing,1984,98050
airway patency,dog,1984,99422
electroencephalogram,sleep apnea,1984,99376
hypercapnia,hypoxia,1984,99421
complications,sleep apnoea,1984,99303
cognition,sleep,1984,99683
hypoglossal nerve,phrenic nerve,1984,99421
reliability,sleep disordered breathing,1984,99399
diazepam,ventilatory failure,1984,99402
diazepam,paracetamol,1984,99402
analgesics,hypnotics,1984,99402
electrophysiology,measurement error,1984,99399
computerized system,sleep apnea,1984,99376
hypnotics,propoxyphene,1984,99402
dog,upper airway,1984,99422
saugen und schlucken,schliisselworter,1984,98050
schliisselworter,synchronization,1984,98050
cats,dynamic responses,1984,99421
cats,hypoxia,1984,99421
propoxyphene,ventilatory failure,1984,99402
saugen und schlucken,synchronization,1984,99360
paracetamol,propoxyphene,1984,99402
cats,hypoglossal nerve,1984,99421
cats,phrenic nerve,1984,99421
complications,hypnotics,1984,99402
dog,superior laryngeal nerve,1984,99422
saugen und schlucken,sucking and swallowing,1984,99360
schliisselworter,synchronization,1984,99360
computerized system,polysomnography,1984,99376
cognition,insomnia,1984,99683
measurement error,polysomnography,1984,99399
schlafapnoesyndrom,synchronisation,1984,98050
dynamic responses,hypercapnia,1984,99421
diazepam,hypnotics,1984,99402
schliisselworter,synchronisation,1984,98050
airway patency,larynx,1984,99422
analgesics,complications,1984,99402
polysomnography,sleep disordered breathing,1984,99399
computerized system,electroencephalogram,1984,99376
electrophysiology,sleep disordered breathing,1984,99399
airway receptors,dog,1984,99422
benzodiazepines,paracetamol,1984,99402
diaphragmatic palsy,motor neuron disease,1985,100584
coronary risk factors,sleep apnea,1985,100468
phrenic nucleus,sleep apnoea,1985,100584
mitochondrial myopathy,sleep apnoea,1985,100535
fast fourier transform,inspiratory stridor,1985,125283
coronary risk factors,sleep disturbances,1985,100468
nocturnal angina,obesity,1985,100557
gastric surgery,obesity,1985,100578
adenoidectomy,polysomnography,1985,100553
nocturnal angina,sleep duration,1985,100557
cardiac arrhythmias,sleep apnea syndrome,1985,100578
adenoids,obstructive sleep apnea,1985,100572
fast fourier transform,obstructive apnea,1985,125283
foreign body,obstructive sleep apnoea,1985,100478
infant respiration,periodic breathing,1985,100591
frequency analysis,sudden infant death syndrome,1985,125283
acute respiratory failure,diaphragmatic palsy,1985,100584
apnea,sids,1985,100498
periodic breathing,respiratory control,1985,100591
frequency analysis,obstructive apnea,1985,125283
fukuhara syndrome,ragged red fibre myopathy,1985,100535
fast fourier transform,frequency analysis,1985,125283
continuous nasal airflow,sleep apnea,1985,99045
arrhythmias,obesity,1985,100557
airway obstruction,obstructive sleep apnea,1985,100572
polysomnography,tonsillectomy,1985,100553
nocturnal angina,sleep apnoea,1985,100557
hypersomnia,sleep apnea,1985,100521
arrhythmias,snoring,1985,100557
adenoidectomy,upper airway obstruction,1985,100553
nocturnal enuresis,tonsillectomy,1985,100553
hypersomnia,oral cyst,1985,100521
sleep apnoea,snoring,1985,100557
nasal septum deviation,sleep apnea,1985,100521
shydrager syndrome,sleep apnoea syndrome,1985,100456
coronary risk factors,epidemiology,1985,100468
fukuhara syndrome,mitochondrial myopathy,1985,100535
hypersomnia,nasal septum deviation,1985,100521
inspiratory stridor,sudden infant death syndrome,1985,125283
obesity,sleep,1985,100578
airway obstruction,lateral neck radiograph,1985,100572
nocturnal enuresis,upper airway obstruction,1985,100553
children,obstructive sleep apnoea,1985,100478
cardiac arrhythmias,obesity,1985,100578
nocturnal enuresis,polysomnography,1985,100553
obesity,sleep apnoea,1985,100557
myoclonus,nrem sleep,1985,100595
epidemiology,sleep disturbances,1985,100468
preterms,sleep state,1985,100498
polysomnography,upper airway obstruction,1985,100553
gastric surgery,sleep,1985,100578
nocturnal angina,snoring,1985,100557
obstructive apnea,sudden infant death syndrome,1985,125283
abnormal movements,myoclonus,1985,100595
adenoidectomy,sleep apnea,1985,100553
lateral neck radiograph,obstructive sleep apnea,1985,100572
adenoidectomy,nocturnal enuresis,1985,100553
lateral neck radiograph,tonsils,1985,100572
arrhythmias,sleep apnoea,1985,100557
apnea,preterms,1985,100498
preterms,sids,1985,100498
ragged red fibre myopathy,sleep apnoea,1985,100535
sleep apnoea,sleep duration,1985,100557
obesity,snoring,1985,100557
fast fourier transform,sudden infant death syndrome,1985,125283
abnormal movements,eds,1985,100595
oral cyst,sleep apnea,1985,100521
sids,sleep state,1985,100498
sleep apnea,sleep disturbances,1985,100468
motor neuron disease,sleep apnoea,1985,100584
motor neuron disease,phrenic nucleus,1985,100584
frequency analysis,inspiratory stridor,1985,125283
inspiratory stridor,obstructive apnea,1985,125283
mitochondrial myopathy,ragged red fibre myopathy,1985,100535
fukuhara syndrome,sleep apnoea,1985,100535
polysomnography,sleep apnea,1985,100553
polygraphic monitoring,preterms,1985,100498
sleep duration,snoring,1985,100557
mitochondrial encephalopathy,ragged red fibre myopathy,1985,100535
cardiac arrhythmias,gastric surgery,1985,100578
acute respiratory failure,phrenic nucleus,1985,100584
nasal septum deviation,oral cyst,1985,100521
diaphragmatic palsy,sleep apnoea,1985,100584
epidemiology,sleep apnea,1985,100468
polygraphic monitoring,sids,1985,100498
eds,nrem sleep,1985,100595
adenoids,lateral neck radiograph,1985,100572
abnormal movements,nrem sleep,1985,100595
tonsillectomy,upper airway obstruction,1985,100553
diaphragmatic palsy,phrenic nucleus,1985,100584
sleep,sleep apnea syndrome,1985,100578
adenoids,airway obstruction,1985,100572
sleep apnea,upper airway obstruction,1985,100553
sleep apnea,tonsillectomy,1985,100553
apnea,sleep state,1985,100498
apnea,infant respiration,1985,100591
eds,myoclonus,1985,100595
airway obstruction,tonsils,1985,100572
infant respiration,respiratory control,1985,100591
adenoids,tonsils,1985,100572
adenoidectomy,tonsillectomy,1985,100553
apnea,polygraphic monitoring,1985,100498
nocturnal enuresis,sleep apnea,1985,100553
obesity,sleep duration,1985,100557
apnea,respiratory control,1985,100591
polygraphic monitoring,sleep state,1985,100498
children,foreign body,1985,100478
apnea,periodic breathing,1985,100591
gastric surgery,sleep apnea syndrome,1985,100578
acute respiratory failure,motor neuron disease,1985,100584
obesity,sleep apnea syndrome,1985,100578
acute respiratory failure,sleep apnoea,1985,100584
mitochondrial encephalopathy,sleep apnoea,1985,100535
arrhythmias,nocturnal angina,1985,100557
mitochondrial encephalopathy,mitochondrial myopathy,1985,100535
arrhythmias,sleep duration,1985,100557
cardiac arrhythmias,sleep,1985,100578
fukuhara syndrome,mitochondrial encephalopathy,1985,100535
obstructive sleep apnea,tonsils,1985,100572
analgesics,opioid,1986,98990
analgesics,endogenous peptides,1986,98990
 infants,in hospital versus at home recordings,1986,98988
endoscopy,stickler syndrome,1986,100312
endogenous peptides,opioid analgesics,1986,98990
naloxone,respiratory stimuli,1986,98978
continuity theory,restoration,1986,99000
central chemoreceptors,hypoglossal nerve,1986,99001
control of breathing,morphine,1986,98981
restoration,sleep deprivation,1986,99000
sleep apnea,sleep states,1986,100342
monitoring,sleep,1986,100216
sleep apnea,sudden infant death syndrome,1986,100342
endogenous peptides,opioids,1986,98990
cephalometric,tongue,1986,100291
benzodiazepine tranquillizers,normal sleep,1986,98994
computerized tomography,tongue,1986,100325
naloxone,regulation of respiration,1986,100211
respiratory center,sudden infant death syndrome,1986,98986
hypoglossal nerve,opiates,1986,98981
acute illness related,central,1986,98978
stickler syndrome,treacher collins syndrome,1986,100312
breathing,kinesiography,1986,100305
sleep,sleep disruption,1986,99000
endorphines,naloxone,1986,100211
endoscopy,obstructive apnea,1986,100312
sleep apnea,sleep disruption,1986,99000
palate,treacher collins syndrome,1986,100312
apnoea,sudden infant death syndrome,1986,100216
cardiopneumogram,sleep states,1986,100342
endogenous peptides,opioid,1986,98990
continuity theory,sleep deprivation,1986,99000
no difference in abnormal pneumograms,pneumogram recordings,1986,98988
in hospital versus at home recordings,siblings of sids victims,1986,98988
canonical correlation,cephalometric,1986,100291
crouzon syndrome,robin sequence,1986,100312
computerized tomography,sleep apnea,1986,100325
crouzon syndrome,endoscopy,1986,100312
endorphin levels,naloxone,1986,98978
in hospital versus at home recordings,no difference in abnormal pneumograms,1986,98988
hypoglossal nerve,phrenic nerve,1986,99001
normal infants,sudden infant death syndrome,1986,99002
pharynx,treacher collins syndrome,1986,100312
sleep,sudden infant death syndrome,1986,100216
obstructive apnea,robin sequence,1986,100312
obstructive apnea,palate,1986,100312
control of breathing,naloxone,1986,98981
computer analysis,kinesiography,1986,100305
apnea of infancy,of prematurity,1986,98988
monitoring,sudden infant death syndrome,1986,100216
continuity theory,sleep apnea,1986,99000
apnea of infancy,siblings of sids victims,1986,98988
no difference in abnormal pneumograms,overnight,1986,98988
normal infants,periodic breathing,1986,99002
endorphin levels,hypoventilationprimary,1986,98978
airway,sleep apnea,1986,100291
chronic respiratory disorders,gastrooesophageal reflux,1986,100215
craniofacial anomalies,pharynx,1986,100312
periodic breathing,sudden infant death syndrome,1986,99002
apnea,periodic breathing,1986,99002
obstructive apnea,stickler syndrome,1986,100312
benzodiazepine tranquillizers,sleeping brain,1986,98994
continuity theory,sleep,1986,99670
endoscopy,palate,1986,100312
insomnia,normal sleep,1986,98994
cardiopneumogram,polysomnogram,1986,100342
craniofacial anomalies,treacher collins syndrome,1986,100312
of prematurity,pneumogram recordings,1986,98988
morphine,opiates,1986,98981
